count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.040000,0.020000,-9.615755,-1.613005,-1.082073,-0.839753,0.901649,-6.858181,-0.839747,0.901669,-6.858271,-0.980169,-0.164319,-0.110762,Transition
3.060000,0.020000,-9.539646,-1.670538,-0.666678,-0.837827,0.899344,-6.851861,-0.839753,0.901649,-6.858181,-0.982258,-0.158545,-0.100169,Walking
3.080000,0.020000,-9.031996,-1.573543,-0.615314,-0.824875,0.895921,-6.849001,-0.837827,0.899344,-6.851861,-0.986706,-0.142954,-0.077300,Walking
3.100000,0.020000,-9.038061,-1.406579,-0.358156,-0.811117,0.891333,-6.846056,-0.824875,0.895921,-6.849001,-0.991437,-0.119997,-0.051522,Walking
3.120000,0.020000,-9.040039,-1.186261,-0.059563,-0.796594,0.885553,-6.842660,-0.811117,0.891333,-6.846056,-0.995534,-0.091464,-0.023376,Walking
3.140000,0.020000,-9.013125,-0.903929,0.269053,-0.780996,0.878938,-6.838645,-0.796594,0.885553,-6.842660,-0.998267,-0.058431,0.006958,Walking
3.160000,0.020000,-9.006583,-0.583542,0.756076,-0.765136,0.871388,-6.831571,-0.780996,0.878938,-6.838645,-0.998938,-0.021002,0.041018,Walking
3.180000,0.020000,-8.959955,-0.178054,1.246287,-0.748799,0.863802,-6.822250,-0.765136,0.871388,-6.831571,-0.996621,0.020513,0.079539,Walking
3.200000,0.020000,-8.903911,0.261592,1.877248,-0.732552,0.856332,-6.808603,-0.748799,0.863802,-6.822250,-0.990441,0.064742,0.121801,Walking
3.220000,0.020000,-8.783419,0.717243,2.618175,-0.716052,0.848890,-6.789270,-0.732552,0.856332,-6.808603,-0.979452,0.111044,0.168355,Walking
3.240000,0.020000,-8.618648,1.202578,3.264392,-0.699587,0.841485,-6.766937,-0.716052,0.848890,-6.789270,-0.962479,0.160325,0.218931,Walking
3.260000,0.020000,-8.518957,1.586329,4.307345,-0.685565,0.832864,-6.734295,-0.699587,0.841485,-6.766937,-0.939861,0.205649,0.272709,Walking
3.280000,0.020000,-8.471999,1.910099,4.910566,-0.675886,0.822944,-6.700077,-0.685565,0.832864,-6.734295,-0.912941,0.245270,0.326162,Walking
3.300000,0.020000,-8.820209,2.167642,5.905772,-0.677552,0.813273,-6.653721,-0.675886,0.822944,-6.700077,-0.890615,0.270252,0.365745,Walking
3.320000,0.020000,-9.307986,2.292616,6.299194,-0.689694,0.806450,-6.601479,-0.677552,0.813273,-6.653721,-0.886936,0.268476,0.375851,Walking
3.340000,0.020000,-9.522462,2.212693,6.277272,-0.704285,0.800834,-6.547216,-0.689694,0.806450,-6.601479,-0.896322,0.254181,0.363317,Walking
3.360000,0.020000,-9.642197,2.084006,6.175027,-0.717653,0.796708,-6.488404,-0.704285,0.800834,-6.547216,-0.914762,0.233466,0.329704,Walking
3.380000,0.020000,-9.814943,1.872523,5.764013,-0.729881,0.794078,-6.427950,-0.717653,0.796708,-6.488404,-0.938179,0.204286,0.279441,Walking
3.400000,0.020000,-9.931067,1.672123,5.430140,-0.740423,0.794319,-6.364272,-0.729881,0.794078,-6.427950,-0.958611,0.169220,0.228975,Walking
3.420000,0.020000,-9.945873,1.438097,5.127573,-0.748050,0.797247,-6.296862,-0.740423,0.794319,-6.364272,-0.974978,0.131670,0.179110,Walking
3.440000,0.020000,-9.922258,1.188776,4.744229,-0.752878,0.802094,-6.227446,-0.748050,0.797247,-6.296862,-0.986835,0.096477,0.129806,Walking
3.460000,0.020000,-9.698495,1.048084,4.435851,-0.751597,0.811027,-6.153795,-0.752878,0.802094,-6.227446,-0.995160,0.061307,0.076796,Walking
