count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
11.3,0.020000,-9.626682,-1.556715,-1.089394,-0.667961,0.902336,-6.950569,-0.667724,0.901175,-6.950537,-0.980107,-0.164607,-0.110887,Transition
11.32,0.020000,-9.497423,-1.646253,-0.841350,-0.665869,0.903348,-6.945871,-0.667961,0.902336,-6.950569,-0.978798,-0.172968,-0.109709,Walking
11.34,0.020000,-8.791468,-1.933271,-0.767288,-0.650056,0.901829,-6.941523,-0.665869,0.903348,-6.945871,-0.976769,-0.189334,-0.100377,Walking
11.36,0.020000,-8.776433,-2.107795,-0.568944,-0.634194,0.899951,-6.937354,-0.650056,0.901829,-6.941523,-0.975488,-0.205286,-0.079248,Walking
11.38,0.020000,-8.821690,-2.252731,-0.310232,-0.619614,0.898545,-6.933401,-0.634194,0.899951,-6.937354,-0.973564,-0.222470,-0.051771,Walking
11.4,0.020000,-8.831605,-2.404282,-0.019684,-0.605909,0.897875,-6.929604,-0.619614,0.898545,-6.933401,-0.970124,-0.241669,-0.021360,Walking
11.42,0.020000,-8.836292,-2.631481,0.325323,-0.593419,0.897115,-6.924387,-0.605909,0.897875,-6.929604,-0.964398,-0.264375,0.006575,Walking
11.44,0.020000,-8.693075,-2.870230,0.588760,-0.579710,0.896939,-6.918647,-0.593419,0.897115,-6.924387,-0.956021,-0.291682,0.030759,Walking
11.46,0.020000,-8.508057,-3.163188,0.961736,-0.564545,0.897193,-6.910096,-0.579710,0.896939,-6.918647,-0.944577,-0.323741,0.054456,Walking
11.48,0.020000,-8.333691,-3.408848,1.530971,-0.548874,0.899630,-6.895555,-0.564545,0.897193,-6.910096,-0.929383,-0.359907,0.081944,Walking
11.5,0.020000,-8.070340,-3.867380,1.917875,-0.531848,0.900567,-6.880169,-0.548874,0.899630,-6.895555,-0.909443,-0.399004,0.117086,Walking
11.52,0.020000,-7.818715,-4.310746,2.749711,-0.514818,0.900098,-6.857934,-0.531848,0.900567,-6.880169,-0.883812,-0.437034,0.166966,Walking
11.54,0.020000,-7.743088,-4.649623,3.152150,-0.502603,0.899342,-6.840411,-0.514818,0.900098,-6.857934,-0.851566,-0.470114,0.232011,Walking
11.56,0.020000,-7.648619,-5.039020,4.338547,-0.494695,0.894752,-6.811600,-0.502603,0.899342,-6.840411,-0.819983,-0.490267,0.295409,Walking
11.58,0.020000,-7.763710,-5.241530,5.324304,-0.492362,0.886274,-6.771223,-0.494695,0.894752,-6.811600,-0.803299,-0.491097,0.336949,Walking
11.6,0.020000,-7.731416,-5.155049,5.649014,-0.490121,0.877668,-6.728652,-0.492362,0.886274,-6.771223,-0.799536,-0.481623,0.358862,Walking
11.62,0.020000,-7.983440,-4.837424,5.933848,-0.491538,0.872776,-6.680778,-0.490121,0.877668,-6.728652,-0.806586,-0.468176,0.360875,Walking
11.64,0.020000,-8.220229,-4.658068,5.872613,-0.494255,0.868282,-6.630332,-0.491538,0.872776,-6.680778,-0.824092,-0.451926,0.341519,Walking
11.66,0.020000,-8.554973,-4.461590,5.856936,-0.499186,0.864223,-6.573426,-0.494255,0.868282,-6.630332,-0.846934,-0.434112,0.307000,Walking
11.68,0.020000,-8.846745,-4.234521,5.761886,-0.504776,0.861282,-6.507711,-0.499186,0.864223,-6.573426,-0.873319,-0.416661,0.252404,Walking
11.7,0.020000,-8.994829,-4.067622,5.341184,-0.508666,0.858814,-6.436846,-0.504776,0.861282,-6.507711,-0.897079,-0.402065,0.183283,Walking
11.72,0.020000,-9.051018,-3.762519,4.973291,-0.510792,0.861535,-6.357683,-0.508666,0.858814,-6.436846,-0.911791,-0.397406,0.103467,Walking
11.74,0.020000,-8.843741,-3.437789,4.073710,-0.508415,0.872450,-6.280153,-0.510792,0.861535,-6.357683,-0.913620,-0.406071,0.020115,Walking
11.76,0.020000,-8.769050,-3.646484,3.330384,-0.506730,0.883263,-6.202169,-0.508415,0.872450,-6.280153,-0.902476,-0.426820,-0.057992,Walking
11.78,0.020000,-8.570318,-3.812047,2.530017,-0.505436,0.896503,-6.125841,-0.506730,0.883263,-6.202169,-0.880229,-0.456074,-0.131122,Walking
11.8,0.020000,-8.174607,-3.998560,1.797290,-0.502077,0.911977,-6.050581,-0.505436,0.896503,-6.125841,-0.850414,-0.486465,-0.200370,Walking
11.82,0.020000,-7.761245,-4.173977,0.937355,-0.497029,0.928459,-5.978781,-0.502077,0.911977,-6.050581,-0.816885,-0.509488,-0.270410,Walking
11.84,0.020000,-7.272902,-4.361279,0.098646,-0.489311,0.943780,-5.909606,-0.497029,0.928459,-5.978781,-0.780711,-0.522664,-0.342509,Walking
11.86,0.020000,-6.687065,-4.328383,-0.725743,-0.477701,0.960999,-5.842909,-0.489311,0.943780,-5.909606,-0.740833,-0.528985,-0.413933,Walking
11.88,0.020000,-6.137808,-4.396097,-1.758518,-0.463900,0.977191,-5.783173,-0.477701,0.960999,-5.842909,-0.696008,-0.530652,-0.483717,Walking
11.9,0.020000,-5.574551,-4.387689,-2.310814,-0.448738,0.993459,-5.721536,-0.463900,0.977191,-5.783173,-0.645532,-0.530184,-0.549721,Walking
11.92,0.020000,-4.767860,-4.484254,-3.026261,-0.428272,1.006684,-5.661688,-0.448738,0.993459,-5.721536,-0.590329,-0.524513,-0.613513,Walking
11.94,0.020000,-4.398587,-4.142569,-3.576220,-0.413245,1.025740,-5.600926,-0.428272,1.006684,-5.661688,-0.524972,-0.519411,-0.674252,Walking
11.96,0.020000,-3.525653,-4.259749,-4.535452,-0.395009,1.041407,-5.548647,-0.413245,1.025740,-5.600926,-0.452338,-0.514071,-0.728781,Walking
11.98,0.020000,-2.860543,-4.230066,-5.180308,-0.377534,1.055234,-5.499846,-0.395009,1.041407,-5.548647,-0.380665,-0.501676,-0.776798,Walking
12,0.020000,-2.207267,-4.086794,-5.649977,-0.361084,1.068727,-5.452364,-0.377534,1.055234,-5.499846,-0.308844,-0.485366,-0.817946,Walking
12.02,0.020000,-1.764071,-4.147914,-6.168905,-0.348855,1.077425,-5.408901,-0.361084,1.068727,-5.452364,-0.242153,-0.467160,-0.850367,Walking
12.04,0.020000,-1.210779,-3.891088,-6.531777,-0.337229,1.087716,-5.367937,-0.348855,1.077425,-5.408901,-0.182678,-0.449092,-0.874611,Walking
12.06,0.020000,-0.800934,-3.872036,-6.890783,-0.328046,1.095153,-5.330668,-0.337229,1.087716,-5.367937,-0.128449,-0.432611,-0.892384,Walking
12.08,0.020000,-0.428033,-3.958205,-7.278239,-0.320343,1.097829,-5.298659,-0.328046,1.095153,-5.330668,-0.082892,-0.417123,-0.905062,Walking
12.1,0.020000,-0.070115,-3.962969,-7.512874,-0.313189,1.097392,-5.269451,-0.320343,1.097829,-5.298659,-0.043609,-0.401748,-0.914711,Walking
12.12,0.020000,-0.010733,-4.246180,-7.898849,-0.310129,1.088047,-5.246398,-0.313189,1.097392,-5.269451,-0.016691,-0.385213,-0.922677,Walking
12.14,0.020000,0.139056,-4.053202,-8.031076,-0.306370,1.078878,-5.224470,-0.310129,1.088047,-5.246398,-0.004983,-0.366436,-0.930430,Walking
12.16,0.020000,0.286362,-4.033354,-8.310768,-0.299082,1.065773,-5.206491,-0.306370,1.078878,-5.224470,-0.007958,-0.344356,-0.938805,Walking
12.18,0.020000,-0.336821,-3.912085,-8.504516,-0.300040,1.051048,-5.191037,-0.299082,1.065773,-5.206491,-0.029449,-0.323732,-0.945691,Walking
12.2,0.020000,-0.695929,-3.821060,-8.705859,-0.300973,1.034552,-5.178782,-0.300040,1.051048,-5.191037,-0.066185,-0.305431,-0.949911,Walking
12.22,0.020000,-1.423390,-3.830195,-8.902242,-0.305037,1.014697,-5.170605,-0.300973,1.034552,-5.178782,-0.124384,-0.289234,-0.949143,Walking
12.24,0.020000,-2.195899,-3.743499,-8.925616,-0.309472,0.994744,-5.164944,-0.305037,1.014697,-5.170605,-0.201237,-0.279907,-0.938699,Walking
12.26,0.020000,-3.162781,-3.759512,-8.872043,-0.315780,0.974661,-5.162900,-0.309472,0.994744,-5.164944,-0.290251,-0.280869,-0.914805,Walking
12.28,0.020000,-4.098848,-3.945553,-8.568734,-0.320763,0.953669,-5.163361,-0.315780,0.974661,-5.162900,-0.392428,-0.295208,-0.871122,Walking
12.3,0.020000,-5.409733,-3.806633,-8.047745,-0.330953,0.939960,-5.166225,-0.320763,0.953669,-5.163361,-0.499517,-0.318166,-0.805762,Walking
12.32,0.020000,-6.545428,-3.781227,-7.204777,-0.342789,0.931694,-5.169683,-0.330953,0.939960,-5.166225,-0.606893,-0.343317,-0.716809,Walking
12.34,0.020000,-7.393284,-3.889365,-6.165572,-0.351886,0.925035,-5.173921,-0.342789,0.931694,-5.169683,-0.707280,-0.362529,-0.606901,Walking
12.36,0.020000,-8.111941,-3.857706,-4.972310,-0.358567,0.920127,-5.178096,-0.351886,0.925035,-5.173921,-0.792856,-0.368227,-0.485581,Walking
12.38,0.020000,-8.698708,-3.693578,-3.764982,-0.364037,0.917737,-5.182745,-0.358567,0.920127,-5.178096,-0.858837,-0.364326,-0.360092,Walking
12.4,0.020000,-9.064337,-3.586308,-2.617052,-0.368062,0.916457,-5.189153,-0.364037,0.917737,-5.182745,-0.903477,-0.359053,-0.234116,Walking
12.42,0.020000,-9.092931,-3.688617,-1.234729,-0.367622,0.911615,-5.191261,-0.368062,0.916457,-5.189153,-0.929147,-0.351332,-0.115118,Walking
12.44,0.020000,-9.032442,-3.651896,-0.344422,-0.363778,0.905312,-5.196274,-0.367622,0.911615,-5.191261,-0.940327,-0.340137,-0.009558,Walking
12.46,0.020000,-9.183744,-3.374484,0.529341,-0.362976,0.902866,-5.200917,-0.363778,0.905312,-5.196274,-0.940251,-0.331515,0.077621,Walking
12.48,0.020000,-9.193398,-3.254370,1.197188,-0.363673,0.902699,-5.203956,-0.362976,0.902866,-5.200917,-0.933594,-0.330890,0.137527,Walking
12.5,0.020000,-9.090226,-3.079465,1.610432,-0.364053,0.907421,-5.206132,-0.363673,0.902699,-5.203956,-0.924693,-0.337978,0.175257,Walking
12.52,0.020000,-9.004357,-3.377548,1.918408,-0.364532,0.909486,-5.205038,-0.364053,0.907421,-5.206132,-0.915430,-0.354819,0.189976,Walking
12.54,0.020000,-8.846103,-3.787239,2.190024,-0.363762,0.908279,-5.198171,-0.364532,0.909486,-5.205038,-0.905668,-0.379907,0.188245,Walking
12.56,0.020000,-8.719864,-4.100656,2.379580,-0.362747,0.906383,-5.186721,-0.363762,0.908279,-5.198171,-0.894047,-0.408348,0.184208,Walking
12.58,0.020000,-8.521851,-4.350357,2.568808,-0.360483,0.905045,-5.171808,-0.362747,0.906383,-5.186721,-0.880230,-0.436641,0.185848,Walking
12.6,0.020000,-8.337875,-4.607283,2.809124,-0.357625,0.903574,-5.154395,-0.360483,0.905045,-5.171808,-0.864504,-0.462155,0.197601,Walking
12.62,0.020000,-8.249004,-4.755910,3.425421,-0.356346,0.902826,-5.130007,-0.357625,0.903574,-5.154395,-0.847396,-0.480988,0.224878,Walking
12.64,0.020000,-8.072752,-4.918256,3.962710,-0.355008,0.900915,-5.102613,-0.356346,0.902826,-5.130007,-0.829732,-0.491611,0.264318,Walking
12.66,0.020000,-7.846367,-5.176448,4.742876,-0.352296,0.894585,-5.067440,-0.355008,0.900915,-5.102613,-0.813653,-0.495406,0.304207,Walking
12.68,0.020000,-7.766499,-5.173390,5.313876,-0.350019,0.887470,-5.027273,-0.352296,0.894585,-5.067440,-0.803299,-0.491097,0.336948,Walking
12.7,0.020000,-7.755296,-5.072058,5.632309,-0.348256,0.880523,-4.985034,-0.350019,0.887470,-5.027273,-0.799536,-0.481623,0.358861,Walking
12.72,0.020000,-7.979726,-4.879735,6.008348,-0.349598,0.874785,-4.935672,-0.348256,0.880523,-4.985034,-0.806586,-0.468177,0.360874,Walking
12.74,0.020000,-8.063580,-4.747845,6.042083,-0.349183,0.868496,-4.881835,-0.349598,0.874785,-4.935672,-0.824092,-0.451926,0.341519,Walking
12.76,0.020000,-8.538250,-4.464248,5.888748,-0.353780,0.864384,-4.824295,-0.349183,0.868496,-4.881835,-0.846934,-0.434112,0.307001,Walking
12.78,0.020000,-8.847501,-4.263676,5.703677,-0.359385,0.860859,-4.759742,-0.353780,0.864384,-4.824295,-0.873318,-0.416661,0.252407,Walking
12.8,0.020000,-8.984947,-4.036598,5.265297,-0.363077,0.859013,-4.690399,-0.359385,0.860859,-4.759742,-0.897079,-0.402065,0.183286,Walking
12.82,0.020000,-9.042903,-3.731859,4.917693,-0.365042,0.862347,-4.612344,-0.363077,0.859013,-4.690399,-0.911791,-0.397407,0.103470,Walking
12.84,0.020000,-8.916142,-3.667370,4.024293,-0.364112,0.868670,-4.535803,-0.365042,0.862347,-4.612344,-0.913621,-0.406070,0.020118,Walking
12.86,0.020000,-8.770284,-3.657105,3.228701,-0.362452,0.879270,-4.459854,-0.364112,0.868670,-4.535803,-0.902476,-0.426818,-0.057989,Walking
12.88,0.020000,-8.529018,-3.780409,2.520749,-0.360331,0.893143,-4.383711,-0.362452,0.879270,-4.459854,-0.880230,-0.456073,-0.131119,Walking
12.9,0.020000,-8.125836,-3.870273,1.909324,-0.355997,0.911182,-4.306215,-0.360331,0.893143,-4.383711,-0.850415,-0.486465,-0.200367,Walking
12.92,0.020000,-7.716041,-4.142015,0.901214,-0.350044,0.928303,-4.235135,-0.355997,0.911182,-4.306215,-0.816886,-0.509488,-0.270407,Walking
