count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.06,0.020000,-9.620882,-1.610837,-1.084320,-0.836233,0.900208,-6.857226,-0.836125,0.900193,-6.857279,-0.980171,-0.164281,-0.110802,Transition
3.08,0.020000,-10.210680,-1.536807,0.467778,-0.848777,0.900912,-6.820148,-0.836233,0.900208,-6.857226,-0.976911,-0.160249,-0.141299,Walking
3.1,0.020000,-10.613590,-1.195909,0.037733,-0.871390,0.907276,-6.779309,-0.848777,0.900912,-6.820148,-0.966663,-0.154343,-0.204305,Walking
3.12,0.020000,-10.248700,-1.302670,-0.034170,-0.889904,0.911202,-6.726807,-0.871390,0.907276,-6.779309,-0.950352,-0.152800,-0.271079,Walking
3.14,0.020000,-10.001230,-1.221369,-0.319876,-0.907885,0.916935,-6.666535,-0.889904,0.911202,-6.726807,-0.927849,-0.153721,-0.339803,Walking
3.16,0.020000,-9.638261,-1.139880,-0.624831,-0.924216,0.924675,-6.598825,-0.907885,0.916935,-6.666535,-0.899255,-0.155644,-0.408798,Walking
3.18,0.020000,-9.184199,-1.133180,-1.026931,-0.938185,0.932782,-6.525854,-0.924216,0.924675,-6.598825,-0.865013,-0.156833,-0.476608,Walking
3.2,0.020000,-8.651605,-1.085717,-1.434198,-0.949222,0.942029,-6.448267,-0.938185,0.932782,-6.525854,-0.825664,-0.157808,-0.541642,Walking
3.22,0.020000,-8.054773,-1.159574,-1.917623,-0.956870,0.950190,-6.368443,-0.949222,0.942029,-6.448267,-0.782093,-0.159800,-0.602324,Walking
3.24,0.020000,-7.273487,-1.434365,-2.215209,-0.957704,0.953176,-6.284017,-0.956870,0.950190,-6.368443,-0.737188,-0.161433,-0.656120,Walking
3.26,0.020000,-6.916746,-1.399773,-2.801231,-0.960040,0.957226,-6.202303,-0.957704,0.953176,-6.284017,-0.693166,-0.163331,-0.702028,Walking
3.28,0.020000,-6.568957,-1.823148,-3.275850,-0.962628,0.953046,-6.123372,-0.960040,0.957226,-6.202303,-0.656424,-0.164537,-0.736230,Walking
3.3,0.020000,-6.202589,-2.025806,-3.458494,-0.963543,0.945033,-6.043293,-0.962628,0.953046,-6.123372,-0.627609,-0.165666,-0.760698,Walking
3.32,0.020000,-6.377274,-2.261006,-4.845625,-0.971074,0.932100,-5.988389,-0.963543,0.945033,-6.043293,-0.611697,-0.164562,-0.773787,Walking
3.34,0.020000,-6.408404,-2.468794,-6.366847,-0.977624,0.913435,-5.964860,-0.971074,0.932100,-5.988389,-0.619869,-0.156528,-0.768935,Walking
3.36,0.020000,-6.554880,-2.349388,-6.269025,-0.983478,0.894700,-5.941882,-0.977624,0.913435,-5.964860,-0.638343,-0.143997,-0.756164,Walking
3.38,0.020000,-6.662090,-2.205529,-6.350112,-0.988806,0.876024,-5.922304,-0.983478,0.894700,-5.941882,-0.651955,-0.129637,-0.747094,Walking
3.4,0.020000,-6.785936,-2.015112,-6.593357,-0.994922,0.858381,-5.908624,-0.988806,0.876024,-5.922304,-0.660568,-0.115490,-0.741830,Walking
3.42,0.020000,-6.786023,-1.911041,-6.426065,-1.000219,0.840815,-5.892034,-0.994922,0.858381,-5.908624,-0.664748,-0.105278,-0.739612,Walking
3.44,0.020000,-6.917253,-1.860833,-6.643957,-1.007102,0.823068,-5.880576,-1.000219,0.840815,-5.892034,-0.670040,-0.099232,-0.735663,Walking
3.46,0.020000,-7.036410,-1.820984,-6.667988,-1.014141,0.805372,-5.871559,-1.007102,0.823068,-5.880576,-0.681391,-0.095433,-0.725671,Walking
3.48,0.020000,-7.347592,-1.432374,-6.662747,-1.024065,0.794426,-5.865513,-1.014141,0.805372,-5.871559,-0.698407,-0.090224,-0.709991,Walking
3.5,0.020000,-7.574216,-1.125940,-6.474194,-1.034759,0.787863,-5.859285,-1.024065,0.794426,-5.865513,-0.717590,-0.081320,-0.691702,Walking
3.52,0.020000,-7.837122,-0.649694,-6.199633,-1.047675,0.788270,-5.850504,-1.034759,0.787863,-5.859285,-0.733060,-0.068303,-0.676726,Walking
3.54,0.020000,-8.128727,-0.117093,-6.136948,-1.064015,0.795995,-5.842826,-1.047675,0.788270,-5.850504,-0.745331,-0.051307,-0.664717,Walking
3.56,0.020000,-8.293676,0.218638,-6.049081,-1.081517,0.806740,-5.835590,-1.064015,0.795995,-5.842826,-0.756227,-0.032481,-0.653502,Walking
3.58,0.020000,-8.526265,0.685614,-5.987365,-1.101693,0.824447,-5.829347,-1.081517,0.806740,-5.835590,-0.766304,-0.020361,-0.642156,Walking
3.6,0.020000,-8.581157,0.752957,-5.931545,-1.121159,0.843368,-5.824173,-1.101693,0.824447,-5.829347,-0.775523,-0.019680,-0.631012,Walking
3.62,0.020000,-8.625715,0.757841,-5.895314,-1.140071,0.864697,-5.820167,-1.121159,0.843368,-5.824173,-0.782886,-0.031461,-0.621369,Walking
3.64,0.020000,-8.584008,0.476358,-5.952564,-1.157448,0.884726,-5.818492,-1.140071,0.864697,-5.820167,-0.786458,-0.053524,-0.615321,Walking
3.66,0.020000,-8.257185,0.106873,-5.877601,-1.168374,0.902132,-5.815719,-1.157448,0.884726,-5.818492,-0.786023,-0.077823,-0.613279,Walking
3.68,0.020000,-8.427921,-0.029816,-6.076315,-1.183277,0.920998,-5.816805,-1.168374,0.902132,-5.815719,-0.783155,-0.099196,-0.613864,Walking
3.7,0.020000,-8.293761,-0.226694,-6.114333,-1.196257,0.938972,-5.818216,-1.183277,0.920998,-5.816805,-0.779283,-0.114723,-0.616082,Walking
3.72,0.020000,-8.204575,-0.353705,-6.188550,-1.208169,0.956115,-5.820540,-1.196257,0.938972,-5.818216,-0.775635,-0.123429,-0.618996,Walking
3.74,0.020000,-8.146660,-0.435567,-6.172869,-1.219600,0.972272,-5.821838,-1.208169,0.956115,-5.820540,-0.772186,-0.126748,-0.622627,Walking
3.76,0.020000,-8.058212,-0.482692,-6.203057,-1.229897,0.987643,-5.822987,-1.219600,0.972272,-5.821838,-0.768942,-0.127551,-0.626465,Walking
3.78,0.020000,-8.027834,-0.718001,-6.320549,-1.240150,0.998681,-5.825875,-1.229897,0.987643,-5.822987,-0.766077,-0.129449,-0.629578,Walking
3.8,0.020000,-8.006729,-0.750153,-6.243320,-1.250509,1.009815,-5.826731,-1.240150,0.998681,-5.825875,-0.763382,-0.133215,-0.632062,Walking
3.82,0.020000,-7.976140,-0.915622,-6.350847,-1.260885,1.018234,-5.829108,-1.250509,1.009815,-5.826731,-0.760177,-0.136246,-0.635270,Walking
3.84,0.020000,-7.926744,-1.100755,-6.466454,-1.271014,1.023171,-5.832962,-1.260885,1.018234,-5.829108,-0.756397,-0.137371,-0.639525,Walking
3.86,0.020000,-8.036174,-1.116447,-6.603541,-1.284100,1.027582,-5.838611,-1.271014,1.023171,-5.832962,-0.752485,-0.136287,-0.644354,Walking
3.88,0.020000,-7.761974,-1.374138,-6.592472,-1.292225,1.027022,-5.843469,-1.284100,1.027582,-5.838611,-0.749821,-0.137221,-0.647255,Walking
3.9,0.020000,-7.675910,-1.469507,-6.549970,-1.298738,1.025640,-5.847585,-1.292225,1.027022,-5.843469,-0.749263,-0.142757,-0.646704,Walking
3.92,0.020000,-7.584442,-1.687049,-6.442969,-1.303096,1.022139,-5.850453,-1.298738,1.025640,-5.847585,-0.750921,-0.154125,-0.642155,Walking
3.94,0.020000,-7.433105,-1.874945,-6.010513,-1.303813,1.018168,-5.846234,-1.303096,1.022139,-5.850453,-0.754051,-0.170886,-0.634196,Walking
3.96,0.020000,-7.500907,-2.168524,-6.047737,-1.305309,1.012195,-5.844564,-1.303813,1.018168,-5.846234,-0.756996,-0.190610,-0.625001,Walking
3.98,0.020000,-7.510613,-2.450929,-5.820744,-1.306643,1.003342,-5.839667,-1.305309,1.012195,-5.844564,-0.758808,-0.204716,-0.618305,Walking
4,0.020000,-7.526710,-2.517277,-5.704582,-1.308012,0.994018,-5.833088,-1.306643,1.003342,-5.839667,-0.760269,-0.209084,-0.615041,Walking
4.02,0.020000,-7.584560,-2.546135,-5.558632,-1.309943,0.983096,-5.823985,-1.308012,0.994018,-5.833088,-0.763305,-0.203877,-0.613025,Walking
4.04,0.020000,-7.726769,-2.405483,-5.389689,-1.313555,0.972337,-5.812107,-1.309943,0.983096,-5.823985,-0.769233,-0.190370,-0.609950,Walking
4.06,0.020000,-7.695560,-2.400225,-5.213926,-1.314835,0.958586,-5.797958,-1.313555,0.972337,-5.812107,-0.777936,-0.174586,-0.603602,Walking
4.08,0.020000,-7.717275,-2.486102,-4.820266,-1.314129,0.940700,-5.778433,-1.314835,0.958586,-5.797958,-0.790275,-0.162259,-0.590879,Walking
4.1,0.020000,-7.900604,-2.402980,-4.472134,-1.314294,0.923631,-5.755545,-1.314129,0.940700,-5.778433,-0.804521,-0.157956,-0.572535,Walking
4.12,0.020000,-7.838384,-2.575831,-4.189724,-1.310762,0.903889,-5.730762,-1.314294,0.923631,-5.755545,-0.817018,-0.161948,-0.553403,Walking
4.14,0.020000,-8.211873,-2.594012,-3.562057,-1.312894,0.885894,-5.696799,-1.310762,0.903889,-5.730762,-0.826228,-0.172709,-0.536207,Walking
4.16,0.020000,-8.305490,-2.752281,-3.289771,-1.315742,0.867483,-5.660134,-1.312894,0.885894,-5.696799,-0.832116,-0.186721,-0.522224,Walking
4.18,0.020000,-8.744262,-2.846222,-2.762759,-1.326831,0.849520,-5.614656,-1.315742,0.867483,-5.660134,-0.834846,-0.198581,-0.513418,Walking
4.2,0.020000,-8.816630,-2.871873,-2.612159,-1.339256,0.832315,-5.566849,-1.326831,0.849520,-5.614656,-0.835409,-0.205059,-0.509944,Walking
4.22,0.020000,-9.261873,-2.866988,-2.363411,-1.360617,0.815314,-5.514059,-1.339256,0.832315,-5.566849,-0.835254,-0.205596,-0.509982,Walking
4.24,0.020000,-8.990175,-2.555768,-2.080189,-1.377177,0.803273,-5.454079,-1.360617,0.815314,-5.514059,-0.832025,-0.199156,-0.517756,Walking
4.26,0.020000,-8.671435,-2.281107,-2.150352,-1.388820,0.794590,-5.392418,-1.377177,0.803273,-5.454079,-0.824596,-0.188272,-0.533475,Walking
4.28,0.020000,-8.610726,-1.847398,-2.018157,-1.402020,0.792120,-5.323145,-1.388820,0.794590,-5.392418,-0.810471,-0.175733,-0.558798,Walking
4.3,0.020000,-8.277693,-1.536463,-2.289752,-1.412657,0.793400,-5.252877,-1.402020,0.792120,-5.323145,-0.789586,-0.163143,-0.591556,Walking
4.32,0.020000,-7.944633,-1.105410,-2.525791,-1.421490,0.800939,-5.180521,-1.412657,0.793400,-5.252877,-0.764832,-0.151108,-0.626257,Walking
4.34,0.020000,-7.587884,-0.793038,-2.910991,-1.428511,0.812492,-5.109148,-1.421490,0.800939,-5.180521,-0.737698,-0.139724,-0.660514,Walking
4.36,0.020000,-7.167227,-0.571370,-3.291233,-1.432471,0.826418,-5.039238,-1.428511,0.812492,-5.109148,-0.710424,-0.129219,-0.691810,Walking
