count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
8.46,0.020000,-9.746650,-1.724903,0.226647,-0.835831,0.887254,-6.816980,-0.834071,0.887810,-6.816348,-0.984571,-0.172995,0.026326,Idle
8.48,0.020000,-9.745474,-1.702126,0.229164,-0.837480,0.886633,-6.817681,-0.835831,0.887254,-6.816980,-0.985016,-0.170347,0.026933,Idle
8.5,0.020000,-9.748541,-1.661760,0.229648,-0.839031,0.885883,-6.818358,-0.837480,0.886633,-6.817681,-0.985832,-0.165570,0.026861,Idle
8.52,0.020000,-9.741657,-1.608403,0.217525,-0.840271,0.885160,-6.819232,-0.839031,0.885883,-6.818358,-0.986713,-0.160274,0.026629,Idle
8.54,0.020000,-9.734602,-1.571422,0.214436,-0.841258,0.884474,-6.820230,-0.840271,0.885160,-6.819232,-0.987281,-0.156686,0.026943,Idle
8.559999,0.020000,-9.729668,-1.545576,0.222267,-0.842078,0.883846,-6.821185,-0.841258,0.884474,-6.820230,-0.987632,-0.154353,0.027523,Idle
8.58,0.020000,-9.723977,-1.528031,0.227804,-0.842737,0.883238,-6.822169,-0.842078,0.883846,-6.821185,-0.987875,-0.152665,0.028238,Idle
8.599999,0.020000,-9.718406,-1.512485,0.234418,-0.843242,0.882635,-6.823202,-0.842737,0.883238,-6.822169,-0.988088,-0.151103,0.029163,Idle
8.62,0.020000,-9.719825,-1.495171,0.247811,-0.843735,0.882048,-6.824263,-0.843242,0.882635,-6.823202,-0.988298,-0.149421,0.030668,Idle
8.639999,0.020000,-9.720674,-1.475568,0.266257,-0.844201,0.881482,-6.825353,-0.843735,0.882048,-6.824263,-0.988517,-0.147532,0.032697,Idle
8.66,0.020000,-9.721391,-1.452533,0.272294,-0.844625,0.880950,-6.826508,-0.844201,0.881482,-6.825353,-0.988808,-0.145351,0.033641,Idle
8.679999,0.020000,-9.721707,-1.426919,0.275374,-0.844986,0.880464,-6.827576,-0.844625,0.880950,-6.826508,-0.989158,-0.142981,0.033517,Idle
8.7,0.020000,-9.721248,-1.401535,0.287797,-0.845276,0.880031,-6.828485,-0.844986,0.880464,-6.827576,-0.989475,-0.140661,0.033972,Idle
8.72,0.020000,-9.719377,-1.376798,0.290240,-0.845480,0.879702,-6.829523,-0.845276,0.880031,-6.828485,-0.989724,-0.138671,0.034875,Idle
8.74,0.020000,-9.717376,-1.357210,0.292991,-0.845606,0.879456,-6.830665,-0.845480,0.879702,-6.829523,-0.989915,-0.137097,0.035685,Idle
8.76,0.020000,-9.716161,-1.339574,0.297453,-0.845670,0.879245,-6.831871,-0.845606,0.879456,-6.830665,-0.990109,-0.135476,0.036470,Idle
8.78,0.020000,-9.716147,-1.320144,0.301819,-0.845693,0.879087,-6.833131,-0.845670,0.879245,-6.831871,-0.990315,-0.133766,0.037188,Idle
