count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
22.1,0.020000,-9.605657,-1.630568,-1.077388,-1.070303,0.901938,-6.916532,-1.070465,0.902043,-6.916617,-0.979996,-0.165679,-0.110263,Transition
22.12,0.019999,-9.413274,-1.711559,-0.942235,-1.066372,0.900341,-6.913243,-1.070303,0.901938,-6.916532,-0.979596,-0.166332,-0.112809,Walking
22.14,0.020000,-8.800600,-1.754358,-1.096689,-1.050181,0.897977,-6.913234,-1.066372,0.900341,-6.913243,-0.979630,-0.166786,-0.111839,Walking
22.16,0.020000,-8.737017,-1.774066,-0.999132,-1.032382,0.894843,-6.913804,-1.050181,0.897977,-6.913234,-0.981340,-0.164869,-0.098944,Walking
22.18,0.020000,-8.681721,-1.767727,-0.784797,-1.012915,0.891016,-6.914924,-1.032382,0.894843,-6.913804,-0.984205,-0.160689,-0.074291,Walking
22.2,0.019999,-8.611032,-1.728197,-0.440193,-0.991424,0.886693,-6.916286,-1.012915,0.891016,-6.914924,-0.987322,-0.154131,-0.037933,Walking
22.22,0.020000,-8.543430,-1.644247,0.051290,-0.968186,0.882334,-6.917133,-0.991424,0.886693,-6.916286,-0.989328,-0.145395,0.009547,Walking
22.24,0.020000,-8.407824,-1.523402,0.636439,-0.942368,0.878220,-6.917596,-0.968186,0.882334,-6.917133,-0.988654,-0.134321,0.067236,Walking
22.26,0.020000,-8.238157,-1.345945,1.326200,-0.914127,0.874921,-6.917266,-0.942368,0.878220,-6.917596,-0.983709,-0.120387,0.133507,Walking
22.28,0.019999,-8.017176,-1.115831,2.126768,-0.883490,0.872829,-6.914866,-0.914127,0.874921,-6.917266,-0.973410,-0.103085,0.204566,Walking
22.3,0.020000,-7.713778,-0.825486,2.941811,-0.849998,0.872331,-6.910637,-0.883490,0.872829,-6.914866,-0.957015,-0.081609,0.278322,Walking
22.32,0.020000,-7.486065,-0.491875,3.968569,-0.816256,0.873592,-6.899915,-0.849998,0.872331,-6.910637,-0.935080,-0.056566,0.349895,Walking
22.34,0.020000,-7.315176,-0.131341,4.567872,-0.784347,0.876553,-6.890434,-0.816256,0.873592,-6.899915,-0.908316,-0.028479,0.417315,Walking
22.36,0.019999,-7.784796,0.091429,5.439473,-0.766908,0.878944,-6.873939,-0.784347,0.876553,-6.890434,-0.882447,-0.002871,0.470403,Walking
22.38,0.020000,-8.318197,0.098059,6.182816,-0.762951,0.878234,-6.847637,-0.766908,0.878944,-6.873939,-0.868101,0.013619,0.496201,Walking
22.4,0.020000,-8.321249,0.165798,6.417800,-0.760307,0.876646,-6.818708,-0.762951,0.878234,-6.847637,-0.861719,0.024991,0.506771,Walking
22.42,0.020000,-8.535505,0.151673,6.739581,-0.762491,0.872702,-6.784140,-0.760307,0.876646,-6.818708,-0.858950,0.035566,0.510824,Walking
22.44,0.019999,-8.654814,0.239881,6.818067,-0.766795,0.868714,-6.747413,-0.762491,0.872702,-6.784140,-0.860305,0.044777,0.507809,Walking
22.46,0.020000,-8.899476,0.267938,6.947753,-0.774997,0.863957,-6.706255,-0.766795,0.868714,-6.747413,-0.865378,0.051559,0.498460,Walking
22.48,0.020000,-9.179295,0.272405,7.019116,-0.786828,0.858737,-6.660109,-0.774997,0.863957,-6.706255,-0.875411,0.054374,0.480311,Walking
22.5,0.020000,-9.376020,0.274766,6.921175,-0.799962,0.853817,-6.610988,-0.786828,0.858737,-6.660109,-0.888822,0.053087,0.455167,Walking
22.52,0.019999,-9.747962,0.235138,6.910169,-0.817274,0.849412,-6.555574,-0.799962,0.853817,-6.610988,-0.905432,0.046419,0.421945,Walking
22.54,0.020000,-9.929796,0.179178,6.613033,-0.834578,0.846232,-6.498025,-0.817274,0.849412,-6.555574,-0.924015,0.034475,0.380800,Walking
22.56,0.020000,-10.156720,0.100169,6.313384,-0.852761,0.844479,-6.437124,-0.834578,0.846232,-6.498025,-0.942672,0.019146,0.333170,Walking
