count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
0,0.020000,-1.999998,-9.810000,0.000000,1.960000,4.000000,-7.000000,2.000000,4.000000,-7.000000,0.000000,-1.000000,0.000000
1,0.020000,-2.000004,-9.810000,0.000000,1.920000,4.000000,-7.000000,1.960000,4.000000,-7.000000,0.000000,-1.000000,0.000000
2,0.020000,-1.999998,-9.810000,0.000000,1.880000,4.000000,-7.000000,1.920000,4.000000,-7.000000,0.000000,-1.000000,0.000000
3,0.020000,-1.999998,-9.810000,0.000000,1.840000,4.000000,-7.000000,1.880000,4.000000,-7.000000,0.000000,-1.000000,0.000000
4,0.020000,-2.000005,-9.810000,0.000000,1.800000,4.000000,-7.000000,1.840000,4.000000,-7.000000,0.000000,-1.000000,0.000000
5,0.020000,-1.999998,-9.810000,0.000000,1.760000,4.000000,-7.000000,1.800000,4.000000,-7.000000,0.000000,-1.000000,0.000000
6,0.020000,-1.999998,-9.810000,0.000000,1.720000,4.000000,-7.000000,1.760000,4.000000,-7.000000,0.000000,-1.000000,0.000000
7,0.020000,-1.999998,-9.810000,0.000000,1.680000,4.000000,-7.000000,1.720000,4.000000,-7.000000,0.000000,-1.000000,0.000000
8,0.020000,-1.999998,-9.810000,0.000000,1.640000,4.000000,-7.000000,1.680000,4.000000,-7.000000,0.000000,-1.000000,0.000000
9,0.020000,-2.000005,-9.810000,0.000000,1.600000,4.000000,-7.000000,1.640000,4.000000,-7.000000,0.000000,-1.000000,0.000000
10,0.020000,-1.999997,-9.810000,0.000000,1.560000,4.000000,-7.000000,1.600000,4.000000,-7.000000,0.000000,-1.000000,0.000000
11,0.020000,-1.999998,-9.810000,0.000000,1.520000,4.000000,-7.000000,1.560000,4.000000,-7.000000,0.000000,-1.000000,0.000000
12,0.020000,-2.000005,-9.810000,0.000000,1.480000,4.000000,-7.000000,1.520000,4.000000,-7.000000,0.000000,-1.000000,0.000000
13,0.020000,-1.999997,-9.810000,0.000000,1.440000,4.000000,-7.000000,1.480000,4.000000,-7.000000,0.000000,-1.000000,0.000000
14,0.020000,-2.000000,-9.810000,0.000000,1.400000,4.000000,-7.000000,1.440000,4.000000,-7.000000,0.000000,-1.000000,0.000000
15,0.020000,-2.000003,-9.810000,0.000000,1.360000,4.000000,-7.000000,1.400000,4.000000,-7.000000,0.000000,-1.000000,0.000000
16,0.020000,-2.000003,-9.810000,0.000000,1.320000,4.000000,-7.000000,1.360000,4.000000,-7.000000,0.000000,-1.000000,0.000000
17,0.020000,-2.000000,-9.810000,0.000000,1.280000,4.000000,-7.000000,1.320000,4.000000,-7.000000,0.000000,-1.000000,0.000000
18,0.020000,-1.999997,-9.810000,0.000000,1.240000,4.000000,-7.000000,1.280000,4.000000,-7.000000,0.000000,-1.000000,0.000000
19,0.020000,-2.000006,-9.810000,0.000000,1.200000,4.000000,-7.000000,1.240000,4.000000,-7.000000,0.000000,-1.000000,0.000000
20,0.020000,-2.000003,-9.810000,0.000000,1.160000,4.000000,-7.000000,1.200000,4.000000,-7.000000,0.000000,-1.000000,0.000000
21,0.020000,-1.999997,-9.810000,0.000000,1.120000,4.000000,-7.000000,1.160000,4.000000,-7.000000,0.000000,-1.000000,0.000000
22,0.020000,-2.000000,-9.810000,0.000000,1.080000,4.000000,-7.000000,1.120000,4.000000,-7.000000,0.000000,-1.000000,0.000000
