count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
15.86,0.020000,-9.645198,-1.316925,0.489754,-0.840267,0.880428,-6.845061,-0.841448,0.880073,-6.844239,-0.989223,-0.136055,0.054111,Idle
15.88,0.020000,-9.630718,-1.335106,0.525695,-0.838888,0.880805,-6.845849,-0.840267,0.880428,-6.845061,-0.988753,-0.138019,0.057605,Idle
15.9,0.020000,-9.613252,-1.353265,0.551294,-0.837243,0.881191,-6.846653,-0.838888,0.880805,-6.845849,-0.988326,-0.139913,0.060295,Idle
15.92,0.020000,-9.598798,-1.366230,0.563232,-0.835363,0.881598,-6.847438,-0.837243,0.881191,-6.846653,-0.988054,-0.141344,0.061414,Idle
15.94,0.020000,-9.588748,-1.378809,0.576668,-0.833339,0.882067,-6.848149,-0.835363,0.881598,-6.847438,-0.987762,-0.142941,0.062410,Idle
15.96,0.020000,-9.572581,-1.397494,0.597936,-0.831063,0.882550,-6.848673,-0.833339,0.882067,-6.848149,-0.987396,-0.144917,0.063620,Idle
15.98,0.020000,-9.554798,-1.417970,0.615655,-0.828499,0.883030,-6.848945,-0.831063,0.882550,-6.848673,-0.987056,-0.146990,0.064143,Idle
16,0.020000,-9.541173,-1.439223,0.611988,-0.825732,0.883543,-6.849302,-0.828499,0.883030,-6.848945,-0.986702,-0.149324,0.064207,Idle
16.02,0.020000,-9.527145,-1.464950,0.611519,-0.822766,0.884071,-6.849684,-0.825732,0.883543,-6.849302,-0.986284,-0.152027,0.064283,Idle
16.04,0.019999,-9.513339,-1.492955,0.619608,-0.819609,0.884567,-6.849952,-0.822766,0.884071,-6.849684,-0.985850,-0.154716,0.064527,Idle
16.06,0.020000,-9.501212,-1.516741,0.623850,-0.816291,0.885082,-6.850194,-0.819609,0.884567,-6.849952,-0.985431,-0.157235,0.064825,Idle
16.08,0.020000,-9.489945,-1.539248,0.623752,-0.812827,0.885633,-6.850441,-0.816291,0.885082,-6.850194,-0.985031,-0.159716,0.064840,Idle
16.1,0.020000,-9.481390,-1.563810,0.630473,-0.809278,0.886235,-6.850513,-0.812827,0.885633,-6.850441,-0.984593,-0.162477,0.064635,Idle
