count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
33.88,0.020000,-9.747463,-1.929183,0.366227,-0.764444,0.893336,-6.844272,-0.761838,0.893479,-6.847036,-0.980343,-0.195927,0.023241,Idle
33.9,0.019997,-9.759900,-1.872381,0.362390,-0.767082,0.893245,-6.841491,-0.764444,0.893336,-6.844272,-0.981442,-0.190401,0.022767,Idle
33.92,0.020000,-9.769660,-1.828355,0.357988,-0.769753,0.893186,-6.838774,-0.767082,0.893245,-6.841491,-0.982275,-0.186072,0.022644,Idle
33.94,0.020000,-9.776253,-1.791476,0.338017,-0.772416,0.893147,-6.836186,-0.769753,0.893186,-6.838774,-0.982990,-0.182422,0.021267,Idle
33.96,0.020000,-9.775935,-1.764554,0.312517,-0.774968,0.893108,-6.833910,-0.772416,0.893147,-6.836186,-0.983518,-0.179672,0.020257,Idle
33.98,0.020000,-9.777048,-1.746263,0.299807,-0.777475,0.893071,-6.831779,-0.774968,0.893108,-6.833910,-0.983866,-0.177821,0.019698,Idle
34,0.020000,-9.778007,-1.734816,0.280158,-0.779953,0.893035,-6.829732,-0.777475,0.893071,-6.831779,-0.984105,-0.176660,0.018128,Idle
34.02,0.020000,-9.777448,-1.730652,0.257309,-0.782406,0.893037,-6.827752,-0.779953,0.893035,-6.829732,-0.984182,-0.176424,0.016136,Idle
34.04,0.020000,-9.774940,-1.738654,0.235596,-0.784838,0.893069,-6.825880,-0.782406,0.893037,-6.827752,-0.984033,-0.177398,0.014472,Idle
34.06,0.019997,-9.770093,-1.759354,0.204322,-0.787246,0.893130,-6.824206,-0.784838,0.893069,-6.825880,-0.983654,-0.179650,0.012296,Idle
34.08,0.020000,-9.765944,-1.790271,0.169235,-0.789681,0.893193,-6.822720,-0.787246,0.893130,-6.824206,-0.983099,-0.182817,0.009676,Idle
34.1,0.020000,-9.762251,-1.824517,0.138864,-0.792166,0.893252,-6.821422,-0.789681,0.893193,-6.822720,-0.982467,-0.186284,0.007540,Idle
34.12,0.020000,-9.758057,-1.859568,0.107041,-0.794674,0.893179,-6.820412,-0.792166,0.893252,-6.821422,-0.981923,-0.189191,0.005764,Idle
34.14,0.020000,-9.755166,-1.882657,0.083708,-0.797198,0.893034,-6.819583,-0.794674,0.893179,-6.820412,-0.981547,-0.191171,0.004309,Idle
34.16,0.020000,-9.750875,-1.900651,0.090329,-0.799719,0.892952,-6.818662,-0.797198,0.893034,-6.819583,-0.981123,-0.193330,0.004515,Idle
