count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
64.56,0.019997,-9.607545,-1.641746,-1.074455,-0.840973,0.902476,-6.859053,-0.841063,0.902543,-6.859104,-0.979824,-0.167010,-0.109784,Idle
64.58,0.020004,-9.607707,-1.641111,-1.073010,-0.840881,0.902400,-6.858981,-0.840973,0.902476,-6.859053,-0.979846,-0.166905,-0.109746,Idle
64.6,0.019997,-9.607986,-1.639189,-1.073125,-0.840789,0.902319,-6.858893,-0.840881,0.902400,-6.858981,-0.979874,-0.166679,-0.109838,Idle
64.62,0.019997,-9.611984,-1.634490,-1.080674,-0.840774,0.902300,-6.858941,-0.840789,0.902319,-6.858893,-0.979893,-0.166518,-0.109920,Idle
64.64,0.020004,-9.610122,-1.635049,-1.079196,-0.840720,0.902255,-6.858949,-0.840774,0.902300,-6.858941,-0.979900,-0.166444,-0.109966,Idle
64.66,0.019997,-9.606324,-1.636462,-1.076382,-0.840589,0.902156,-6.858880,-0.840720,0.902255,-6.858949,-0.979910,-0.166313,-0.110078,Idle
64.68,0.020004,-9.604786,-1.634581,-1.076858,-0.840420,0.902044,-6.858796,-0.840589,0.902156,-6.858880,-0.979940,-0.166053,-0.110199,Idle
64.7,0.019997,-9.605618,-1.630619,-1.077384,-0.840257,0.901939,-6.858710,-0.840420,0.902044,-6.858796,-0.979996,-0.165682,-0.110263,Idle
64.72,0.020004,-9.615417,-1.624359,-1.079399,-0.840285,0.901912,-6.858641,-0.840257,0.901939,-6.858710,-0.980022,-0.165447,-0.110383,Idle
64.74,0.019997,-9.616559,-1.622925,-1.079401,-0.840339,0.901907,-6.858532,-0.840285,0.901912,-6.858641,-0.980006,-0.165408,-0.110585,Idle
64.76,0.020004,-9.616033,-1.622581,-1.077110,-0.840389,0.901915,-6.858335,-0.840339,0.901907,-6.858532,-0.979976,-0.165441,-0.110798,Idle
64.78,0.019997,-9.604042,-1.626759,-1.084545,-0.840198,0.901816,-6.858258,-0.840389,0.901915,-6.858335,-0.979979,-0.165324,-0.110949,Idle
64.8,0.019997,-9.600645,-1.624925,-1.088489,-0.839928,0.901686,-6.858253,-0.840198,0.901816,-6.858258,-0.980033,-0.164978,-0.110984,Idle
64.82,0.020004,-9.614738,-1.615655,-1.082849,-0.839926,0.901670,-6.858154,-0.839928,0.901686,-6.858253,-0.980106,-0.164610,-0.110888,Idle
64.84,0.019997,-9.615725,-1.613020,-1.082047,-0.839931,0.901649,-6.858063,-0.839926,0.901670,-6.858154,-0.980169,-0.164321,-0.110762,Idle
64.86,0.020004,-9.620812,-1.610841,-1.084352,-0.840038,0.901664,-6.858011,-0.839931,0.901649,-6.858063,-0.980171,-0.164280,-0.110800,Idle
64.88,0.019997,-9.615991,-1.613713,-1.087589,-0.840054,0.901632,-6.857993,-0.840038,0.901664,-6.858011,-0.980144,-0.164335,-0.110958,Idle
64.9,0.020004,-9.613367,-1.614089,-1.090323,-0.840017,0.901573,-6.857995,-0.840054,0.901632,-6.857993,-0.980141,-0.164235,-0.111137,Idle
64.92,0.019997,-9.605927,-1.613461,-1.089238,-0.839821,0.901450,-6.857962,-0.840017,0.901573,-6.857995,-0.980199,-0.163842,-0.111201,Idle
64.93999,0.019997,-9.607493,-1.607650,-1.089115,-0.839637,0.901335,-6.857934,-0.839821,0.901450,-6.857962,-0.980295,-0.163293,-0.111159,Idle
64.96,0.020004,-9.611169,-1.603137,-1.090050,-0.839518,0.901259,-6.857925,-0.839637,0.901335,-6.857934,-0.980339,-0.163029,-0.111162,Idle
64.98,0.019997,-9.614929,-1.601238,-1.092622,-0.839476,0.901206,-6.857924,-0.839518,0.901259,-6.857925,-0.980326,-0.162955,-0.111383,Idle
65,0.020004,-9.616756,-1.599557,-1.097894,-0.839480,0.901167,-6.857929,-0.839476,0.901206,-6.857924,-0.980284,-0.162857,-0.111894,Idle
65.02,0.019997,-9.621925,-1.596780,-1.108780,-0.839598,0.901199,-6.858070,-0.839480,0.901167,-6.857929,-0.980225,-0.162934,-0.112306,Idle
65.04,0.020004,-9.618121,-1.600546,-1.110993,-0.839654,0.901204,-6.858209,-0.839598,0.901199,-6.858070,-0.980156,-0.163182,-0.112542,Idle
65.06,0.019997,-9.610661,-1.605587,-1.113344,-0.839574,0.901151,-6.858335,-0.839654,0.901204,-6.858209,-0.980086,-0.163395,-0.112847,Idle
65.08,0.020004,-9.607408,-1.606913,-1.109094,-0.839441,0.901090,-6.858303,-0.839574,0.901151,-6.858335,-0.980026,-0.163493,-0.113225,Idle
65.1,0.019997,-9.606785,-1.606307,-1.109312,-0.839305,0.901037,-6.858192,-0.839441,0.901090,-6.858303,-0.979981,-0.163474,-0.113641,Idle
65.12,0.019997,-9.614673,-1.604230,-1.120945,-0.839326,0.900988,-6.858261,-0.839305,0.901037,-6.858192,-0.979981,-0.163282,-0.113916,Idle
65.14,0.020004,-9.610907,-1.602550,-1.120494,-0.839261,0.900898,-6.858308,-0.839326,0.900988,-6.858261,-0.980037,-0.162896,-0.113981,Idle
65.16,0.019997,-9.602603,-1.601704,-1.117762,-0.839010,0.900717,-6.858316,-0.839261,0.900898,-6.858308,-0.980137,-0.162352,-0.113900,Idle
65.18,0.020004,-9.609326,-1.592868,-1.117297,-0.838874,0.900614,-6.858342,-0.839010,0.900717,-6.858316,-0.980236,-0.161849,-0.113760,Idle
65.2,0.019997,-9.612839,-1.588255,-1.116745,-0.838798,0.900551,-6.858376,-0.838874,0.900614,-6.858342,-0.980292,-0.161581,-0.113667,Idle
65.22,0.020004,-9.625122,-1.582682,-1.123044,-0.838959,0.900583,-6.858582,-0.838798,0.900551,-6.858376,-0.980333,-0.161493,-0.113430,Idle
65.24,0.019997,-7.552230,-2.239376,-1.959017,-0.804145,0.911805,-6.869274,-0.838959,0.900583,-6.858582,-0.947323,-0.285483,-0.145188,Fall
65.26,0.020004,-10.440950,-1.275909,-0.524456,-0.824132,0.933980,-6.856068,-0.804145,0.911805,-6.869274,-0.962466,-0.243060,-0.120756,After_fall
65.28,0.019997,-10.539410,1.550964,-0.105621,-0.839120,0.970134,-6.846734,-0.824132,0.933980,-6.856068,-0.997952,-0.026202,-0.058349,After_fall
65.3,0.019997,-9.553949,-0.121895,-0.380589,-0.834331,0.956342,-6.853403,-0.839120,0.970134,-6.846734,-0.998312,0.057883,-0.004802,After_fall
65.32,0.020004,-10.553910,1.076472,1.648888,-0.852487,0.946735,-6.837878,-0.834331,0.956342,-6.853403,-0.983312,0.158686,0.088974,After_fall
65.34,0.019997,-10.585580,2.694173,2.410255,-0.879605,0.938577,-6.813595,-0.852487,0.946735,-6.837878,-0.940821,0.316220,0.121907,After_fall
65.36,0.020004,-9.917802,3.064702,0.641560,-0.901559,0.916518,-6.821455,-0.879605,0.938577,-6.813595,-0.899116,0.424817,0.105452,After_fall
65.38,0.019997,-10.220540,3.946438,0.923782,-0.932315,0.906329,-6.822926,-0.901559,0.916518,-6.821455,-0.885068,0.454224,0.101661,After_fall
65.4,0.020004,-8.532099,3.940123,0.639193,-0.932554,0.889435,-6.827467,-0.932315,0.906329,-6.822926,-0.868515,0.487735,0.088299,After_fall
