count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
0,0.020000,0.000000,-7.905239,0.000000,-5.000000,2.038095,-7.000000,-5.000000,2.000000,-7.000000,0.000000,-1.000000,0.000000
1,0.020000,0.000000,-7.905239,0.000000,-5.000000,2.076190,-7.000000,-5.000000,2.038095,-7.000000,0.000000,-1.000000,0.000000
2,0.020000,0.000000,-7.905239,0.000000,-5.000000,2.114286,-7.000000,-5.000000,2.076190,-7.000000,0.000000,-1.000000,0.000000
3,0.020000,0.000000,-7.905239,0.000000,-5.000000,2.152381,-7.000000,-5.000000,2.114286,-7.000000,0.000000,-1.000000,0.000000
4,0.020000,0.000000,-7.905238,0.000000,-5.000000,2.190476,-7.000000,-5.000000,2.152381,-7.000000,0.000000,-1.000000,0.000000
5,0.020000,0.000000,-7.905239,0.000000,-5.000000,2.228571,-7.000000,-5.000000,2.190476,-7.000000,0.000000,-1.000000,0.000000
6,0.020000,0.000000,-7.905239,0.000000,-5.000000,2.266667,-7.000000,-5.000000,2.228571,-7.000000,0.000000,-1.000000,0.000000
7,0.020000,0.000000,-7.905238,0.000000,-5.000000,2.304762,-7.000000,-5.000000,2.266667,-7.000000,0.000000,-1.000000,0.000000
8,0.020000,0.000000,-7.905238,0.000000,-5.000000,2.342857,-7.000000,-5.000000,2.304762,-7.000000,0.000000,-1.000000,0.000000
9,0.020000,0.000000,-7.905238,0.000000,-5.000000,2.380952,-7.000000,-5.000000,2.342857,-7.000000,0.000000,-1.000000,0.000000
10,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.419048,-7.000000,-5.000000,2.380952,-7.000000,0.000000,-1.000000,0.000000
11,0.020000,0.000000,-7.905238,0.000000,-5.000000,2.457143,-7.000000,-5.000000,2.419048,-7.000000,0.000000,-1.000000,0.000000
12,0.020000,0.000000,-7.905238,0.000000,-5.000000,2.495238,-7.000000,-5.000000,2.457143,-7.000000,0.000000,-1.000000,0.000000
13,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.533333,-7.000000,-5.000000,2.495238,-7.000000,0.000000,-1.000000,0.000000
14,0.020000,0.000000,-7.905237,0.000000,-5.000000,2.571429,-7.000000,-5.000000,2.533333,-7.000000,0.000000,-1.000000,0.000000
15,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.609524,-7.000000,-5.000000,2.571429,-7.000000,0.000000,-1.000000,0.000000
16,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.647619,-7.000000,-5.000000,2.609524,-7.000000,0.000000,-1.000000,0.000000
17,0.020000,0.000000,-7.905237,0.000000,-5.000000,2.685714,-7.000000,-5.000000,2.647619,-7.000000,0.000000,-1.000000,0.000000
18,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.723809,-7.000000,-5.000000,2.685714,-7.000000,0.000000,-1.000000,0.000000
19,0.020000,0.000000,-7.905237,0.000000,-5.000000,2.761905,-7.000000,-5.000000,2.723809,-7.000000,0.000000,-1.000000,0.000000
20,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.800000,-7.000000,-5.000000,2.761905,-7.000000,0.000000,-1.000000,0.000000
21,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.838095,-7.000000,-5.000000,2.800000,-7.000000,0.000000,-1.000000,0.000000
22,0.020000,0.000000,-7.905237,0.000000,-5.000000,2.876190,-7.000000,-5.000000,2.838095,-7.000000,0.000000,-1.000000,0.000000
23,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.914286,-7.000000,-5.000000,2.876190,-7.000000,0.000000,-1.000000,0.000000
24,0.020000,0.000000,-7.905240,0.000000,-5.000000,2.952381,-7.000000,-5.000000,2.914286,-7.000000,0.000000,-1.000000,0.000000
25,0.020000,0.000000,-7.905237,0.000000,-5.000000,2.990476,-7.000000,-5.000000,2.952381,-7.000000,0.000000,-1.000000,0.000000
26,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.028572,-7.000000,-5.000000,2.990476,-7.000000,0.000000,-1.000000,0.000000
27,0.020000,0.000000,-7.905254,0.000000,-5.000000,3.066667,-7.000000,-5.000000,3.028572,-7.000000,0.000000,-1.000000,0.000000
28,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.104762,-7.000000,-5.000000,3.066667,-7.000000,0.000000,-1.000000,0.000000
29,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.142857,-7.000000,-5.000000,3.104762,-7.000000,0.000000,-1.000000,0.000000
30,0.020000,0.000000,-7.905231,0.000000,-5.000000,3.180953,-7.000000,-5.000000,3.142857,-7.000000,0.000000,-1.000000,0.000000
31,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.219048,-7.000000,-5.000000,3.180953,-7.000000,0.000000,-1.000000,0.000000
32,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.257143,-7.000000,-5.000000,3.219048,-7.000000,0.000000,-1.000000,0.000000
33,0.020000,0.000000,-7.905254,0.000000,-5.000000,3.295238,-7.000000,-5.000000,3.257143,-7.000000,0.000000,-1.000000,0.000000
34,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.333333,-7.000000,-5.000000,3.295238,-7.000000,0.000000,-1.000000,0.000000
35,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.371428,-7.000000,-5.000000,3.333333,-7.000000,0.000000,-1.000000,0.000000
36,0.020000,0.000000,-7.905231,0.000000,-5.000000,3.409524,-7.000000,-5.000000,3.371428,-7.000000,0.000000,-1.000000,0.000000
37,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.447619,-7.000000,-5.000000,3.409524,-7.000000,0.000000,-1.000000,0.000000
38,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.485714,-7.000000,-5.000000,3.447619,-7.000000,0.000000,-1.000000,0.000000
39,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.523809,-7.000000,-5.000000,3.485714,-7.000000,0.000000,-1.000000,0.000000
40,0.020000,0.000000,-7.905231,0.000000,-5.000000,3.561905,-7.000000,-5.000000,3.523809,-7.000000,0.000000,-1.000000,0.000000
41,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.600000,-7.000000,-5.000000,3.561905,-7.000000,0.000000,-1.000000,0.000000
42,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.638095,-7.000000,-5.000000,3.600000,-7.000000,0.000000,-1.000000,0.000000
43,0.020000,0.000000,-7.905254,0.000000,-5.000000,3.676190,-7.000000,-5.000000,3.638095,-7.000000,0.000000,-1.000000,0.000000
44,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.714286,-7.000000,-5.000000,3.676190,-7.000000,0.000000,-1.000000,0.000000
45,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.752381,-7.000000,-5.000000,3.714286,-7.000000,0.000000,-1.000000,0.000000
46,0.020000,0.000000,-7.905231,0.000000,-5.000000,3.790476,-7.000000,-5.000000,3.752381,-7.000000,0.000000,-1.000000,0.000000
47,0.020000,0.000000,-7.905249,0.000000,-5.000000,3.828571,-7.000000,-5.000000,3.790476,-7.000000,0.000000,-1.000000,0.000000
48,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.866667,-7.000000,-5.000000,3.828571,-7.000000,0.000000,-1.000000,0.000000
49,0.020000,0.000000,-7.905254,0.000000,-5.000000,3.904762,-7.000000,-5.000000,3.866667,-7.000000,0.000000,-1.000000,0.000000
50,0.020000,0.000000,-7.905225,0.000000,-5.000000,3.942857,-7.000000,-5.000000,3.904762,-7.000000,0.000000,-1.000000,0.000000
