count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
6.26,1.000000,5.182899,-2.738102,-8.446648,1.876645,1.459318,-6.938766,2.349361,0.645941,-5.678016,0.576515,-0.362026,-0.732507,After_fall
6.28,1.000000,9.214556,-2.153166,-2.586723,1.876624,1.459328,-6.938695,1.876645,1.459318,-6.938766,0.939305,-0.219488,-0.263690,After_fall
6.3,1.000000,9.214538,-2.153250,-2.586734,1.876602,1.459336,-6.938636,1.876624,1.459328,-6.938695,0.939303,-0.219496,-0.263689,After_fall
6.32,1.000000,9.214552,-2.153151,-2.586781,1.876579,1.459340,-6.938600,1.876602,1.459336,-6.938636,0.939304,-0.219486,-0.263692,After_fall
6.34,1.000000,9.214552,-2.152835,-2.587019,1.876526,1.459301,-6.938607,1.876579,1.459340,-6.938600,0.939307,-0.219449,-0.263712,After_fall
6.36,1.000000,9.214548,-2.152301,-2.587462,1.876459,1.459240,-6.938632,1.876526,1.459301,-6.938607,0.939308,-0.219392,-0.263755,After_fall
6.38,1.000000,9.214565,-2.151822,-2.587978,1.876441,1.459202,-6.938680,1.876459,1.459240,-6.938632,0.939305,-0.219346,-0.263805,After_fall
6.4,1.000000,9.214498,-2.151576,-2.588360,1.876420,1.459170,-6.938675,1.876441,1.459202,-6.938680,0.939299,-0.219322,-0.263850,After_fall
6.42,1.000000,9.214429,-2.151476,-2.588543,1.876390,1.459146,-6.938569,1.876420,1.459170,-6.938675,0.939292,-0.219312,-0.263879,After_fall
6.44,1.000000,9.214343,-2.151495,-2.588824,1.876337,1.459108,-6.938521,1.876390,1.459146,-6.938569,0.939286,-0.219313,-0.263901,After_fall
6.46,1.000000,9.214253,-2.151509,-2.589123,1.876273,1.459065,-6.938502,1.876337,1.459108,-6.938521,0.939278,-0.219314,-0.263929,After_fall
6.48,1.000000,9.214195,-2.151461,-2.589411,1.876244,1.459085,-6.938453,1.876273,1.459065,-6.938502,0.939269,-0.219315,-0.263961,After_fall
6.5,1.000000,9.214120,-2.151443,-2.589714,1.876216,1.459095,-6.938410,1.876244,1.459085,-6.938453,0.939261,-0.219312,-0.263992,After_fall
6.52,1.000000,9.214125,-2.151278,-2.589871,1.876185,1.459060,-6.938377,1.876216,1.459095,-6.938410,0.939262,-0.219291,-0.264007,After_fall
6.54,1.000000,9.214165,-2.151034,-2.589890,1.876148,1.459028,-6.938325,1.876185,1.459060,-6.938377,0.939266,-0.219266,-0.264010,After_fall
6.56,1.000000,9.214176,-2.150949,-2.589895,1.876107,1.458995,-6.938265,1.876148,1.459028,-6.938325,0.939268,-0.219258,-0.264012,After_fall
6.58,1.000000,9.214251,-2.150755,-2.590083,1.876130,1.458979,-6.938280,1.876107,1.458995,-6.938265,0.939269,-0.219239,-0.264023,After_fall
6.6,1.000000,9.214249,-2.150448,-2.590233,1.876128,1.458954,-6.938269,1.876130,1.458979,-6.938280,0.939271,-0.219207,-0.264041,After_fall
6.62,1.000000,9.214256,-2.150177,-2.590224,1.876079,1.458911,-6.938201,1.876128,1.458954,-6.938269,0.939277,-0.219178,-0.264046,After_fall
6.64,1.000000,9.214322,-2.149931,-2.590302,1.876048,1.458865,-6.938179,1.876079,1.458911,-6.938201,0.939282,-0.219152,-0.264049,After_fall
6.66,1.000000,9.214344,-2.149719,-2.590452,1.876025,1.458824,-6.938179,1.876048,1.458865,-6.938179,0.939283,-0.219131,-0.264062,After_fall
6.68,1.000000,9.214341,-2.149439,-2.590625,1.875991,1.458803,-6.938170,1.876025,1.458824,-6.938179,0.939284,-0.219105,-0.264081,After_fall
6.7,1.000000,9.214367,-2.149117,-2.590817,1.875963,1.458788,-6.938154,1.875991,1.458803,-6.938170,0.939286,-0.219073,-0.264101,After_fall
6.72,1.000000,9.214402,-2.148832,-2.590976,1.875955,1.458778,-6.938125,1.875963,1.458788,-6.938154,0.939288,-0.219044,-0.264119,After_fall
6.74,1.000000,9.214429,-2.148668,-2.591114,1.875953,1.458740,-6.938148,1.875955,1.458778,-6.938125,0.939290,-0.219025,-0.264128,After_fall
6.76,1.000000,9.214458,-2.148592,-2.591124,1.875956,1.458695,-6.938199,1.875953,1.458740,-6.938148,0.939292,-0.219016,-0.264126,After_fall
6.78,1.000000,9.214422,-2.148513,-2.591266,1.875962,1.458692,-6.938215,1.875956,1.458695,-6.938199,0.939288,-0.219012,-0.264144,After_fall
6.8,1.000000,9.214320,-2.148448,-2.591582,1.875947,1.458683,-6.938205,1.875962,1.458692,-6.938215,0.939280,-0.219005,-0.264179,After_fall
6.82,1.000000,9.214272,-2.148300,-2.591683,1.875893,1.458678,-6.938146,1.875947,1.458683,-6.938205,0.939279,-0.218990,-0.264194,After_fall
6.84,1.000000,9.214315,-2.148109,-2.591835,1.875846,1.458655,-6.938191,1.875893,1.458678,-6.938146,0.939282,-0.218969,-0.264199,After_fall
6.86,1.000000,9.214349,-2.147866,-2.591988,1.875803,1.458623,-6.938289,1.875846,1.458655,-6.938191,0.939286,-0.218943,-0.264209,After_fall
6.88,1.000000,9.214374,-2.147616,-2.592219,1.875793,1.458578,-6.938367,1.875803,1.458623,-6.938289,0.939285,-0.218917,-0.264235,After_fall
