count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
2.48,0.020000,-9.668057,-2.289830,0.383343,-0.753435,0.894247,-6.859974,-0.750870,0.894587,-6.862651,-0.972458,-0.231686,0.025433,NotFall
2.5,0.020000,-10.011240,-2.124653,0.511665,-0.761912,0.893289,-6.851161,-0.753435,0.894247,-6.859974,-0.977309,-0.211697,0.007237,Idle
2.52,0.020000,-10.033040,-1.850176,0.160934,-0.769761,0.892216,-6.842734,-0.761912,0.893289,-6.851161,-0.982729,-0.183135,-0.026544,Idle
2.54,0.020000,-10.037630,-1.579829,-0.173034,-0.777055,0.891217,-6.834714,-0.769761,0.892216,-6.842734,-0.986030,-0.155952,-0.058515,Idle
2.56,0.020000,-10.019850,-1.355733,-0.490183,-0.783728,0.889935,-6.827250,-0.777055,0.891217,-6.834714,-0.987379,-0.131664,-0.088015,Idle
2.58,0.020000,-9.988629,-1.165488,-0.746765,-0.789753,0.888226,-6.820054,-0.783728,0.889935,-6.827250,-0.987500,-0.110094,-0.112797,Idle
2.6,0.020000,-9.963513,-1.012884,-0.941792,-0.795295,0.885469,-6.813252,-0.789753,0.888226,-6.820054,-0.987405,-0.089201,-0.130673,Idle
2.62,0.020000,-9.956458,-0.835170,-0.990659,-0.800659,0.882151,-6.805309,-0.795295,0.885469,-6.813252,-0.987589,-0.068224,-0.141467,Idle
2.64,0.020000,-9.983069,-0.655949,-0.900712,-0.806451,0.878489,-6.794693,-0.800659,0.882151,-6.805309,-0.988121,-0.048197,-0.145928,Idle
2.66,0.020000,-9.945328,-0.484774,-0.646550,-0.811281,0.874407,-6.779385,-0.806451,0.878489,-6.794693,-0.989175,-0.028612,-0.143927,Idle
2.68,0.020000,-9.933222,-0.313113,-0.357657,-0.815593,0.870027,-6.759742,-0.811281,0.874407,-6.779385,-0.990583,-0.009594,-0.136575,Idle
2.7,0.020000,-9.896824,-0.164621,0.132398,-0.818789,0.865167,-6.733257,-0.815593,0.870027,-6.759742,-0.992560,0.007987,-0.121492,Idle
2.72,0.020000,-9.967286,-0.030218,0.210516,-0.822977,0.859857,-6.709411,-0.818789,0.865167,-6.733257,-0.994690,0.023983,-0.100083,Idle
2.74,0.020000,-9.991912,0.053501,0.503111,-0.827321,0.853796,-6.684328,-0.822977,0.859857,-6.709411,-0.996402,0.036347,-0.076559,Idle
2.76,0.020000,-9.899551,0.175890,0.878968,-0.829619,0.848940,-6.655418,-0.827321,0.853796,-6.684328,-0.997419,0.042682,-0.057747,NotFall
2.78,0.020000,-9.882221,0.217636,0.999012,-0.831507,0.844236,-6.625851,-0.829619,0.848940,-6.655418,-0.997738,0.046159,-0.048864,NotFall
2.8,0.020000,-9.908304,0.296924,1.070134,-0.833946,0.841080,-6.594308,-0.831507,0.844236,-6.625851,-0.997587,0.046353,-0.051685,NotFall
2.82,0.020000,-9.939826,0.330589,0.963379,-0.837112,0.839292,-6.562698,-0.833946,0.841080,-6.594308,-0.997101,0.042812,-0.062908,NotFall
2.84,0.020000,-9.998420,0.403492,0.885219,-0.841603,0.839888,-6.529922,-0.837112,0.839292,-6.562698,-0.996317,0.038091,-0.076820,NotFall
2.86,0.020000,-9.968548,0.430378,0.775977,-0.845834,0.841933,-6.495119,-0.841603,0.839888,-6.529922,-0.994596,0.033452,-0.098284,NotFall
2.88,0.020000,-9.931897,0.440277,0.487644,-0.849982,0.844841,-6.460196,-0.845834,0.841933,-6.495119,-0.991282,0.030058,-0.128286,NotFall
2.9,0.020000,-9.798576,0.479393,0.321856,-0.852403,0.849407,-6.422020,-0.849982,0.844841,-6.460196,-0.986497,0.025594,-0.161769,NotFall
2.92,0.020000,-9.734345,0.476866,-0.038567,-0.854778,0.855227,-6.384106,-0.852403,0.849407,-6.422020,-0.980186,0.018950,-0.197172,NotFall
2.94,0.020000,-9.660131,0.433078,-0.409449,-0.857357,0.861913,-6.345892,-0.854778,0.855227,-6.384106,-0.971577,0.010068,-0.236510,NotFall
2.96,0.020000,-9.646119,0.302320,-1.014238,-0.862887,0.869736,-6.308077,-0.857357,0.861913,-6.345892,-0.955108,-0.009056,-0.296121,NotFall
2.98,0.020000,-9.388735,0.014515,-1.819990,-0.869238,0.878098,-6.270216,-0.862887,0.869736,-6.308077,-0.924688,-0.041144,-0.378497,NotFall
3,0.020000,-8.890205,-0.343368,-2.411048,-0.871449,0.886162,-6.232191,-0.869238,0.878098,-6.270216,-0.894972,-0.076101,-0.439584,NotFall
3.02,0.020000,-8.517666,-0.651331,-2.633813,-0.868968,0.892730,-6.194098,-0.871449,0.886162,-6.232191,-0.880907,-0.099873,-0.462632,NotFall
3.04,0.020000,-8.172416,-0.602123,-2.460573,-0.858071,0.898473,-6.155096,-0.868968,0.892730,-6.194098,-0.888612,-0.090649,-0.449612,NotFall
3.06,0.020000,-8.501311,-0.260231,-2.299076,-0.851224,0.905930,-6.117113,-0.858071,0.898473,-6.155096,-0.901494,-0.064532,-0.427954,NotFall
3.08,0.020000,-8.615523,-0.069708,-2.319206,-0.846912,0.914370,-6.078632,-0.851224,0.905930,-6.117113,-0.900218,-0.050125,-0.432545,NotFall
3.1,0.020000,-8.429267,-0.147353,-2.806393,-0.843444,0.922334,-6.041095,-0.846912,0.914370,-6.078632,-0.876928,-0.055609,-0.477393,NotFall
3.12,0.020000,-7.991556,-0.345547,-3.528398,-0.839445,0.929966,-6.004693,-0.843444,0.922334,-6.041095,-0.835016,-0.074125,-0.545210,NotFall
3.14,0.020000,-7.580348,-0.484144,-4.113091,-0.834544,0.937218,-5.969852,-0.839445,0.929966,-6.004693,-0.797693,-0.086313,-0.596855,NotFall
3.16,0.020000,-7.253550,-0.515054,-4.434299,-0.827670,0.943902,-5.935580,-0.834544,0.937218,-5.969852,-0.774439,-0.086570,-0.626698,NotFall
3.18,0.020000,-7.132092,-0.427742,-4.558467,-0.820164,0.950356,-5.901351,-0.827670,0.943902,-5.935580,-0.765281,-0.076499,-0.639134,NotFall
3.2,0.020000,-7.114157,-0.490327,-4.784913,-0.813886,0.953805,-5.869580,-0.820164,0.950356,-5.901351,-0.757190,-0.067562,-0.649692,NotFall
3.22,0.020000,-7.003910,-0.533439,-4.954206,-0.807901,0.955644,-5.838266,-0.813886,0.953805,-5.869580,-0.744461,-0.063751,-0.664616,NotFall
3.24,0.020000,-6.903030,-0.637339,-5.172296,-0.802879,0.955031,-5.808016,-0.807901,0.955644,-5.838266,-0.729271,-0.061845,-0.681425,NotFall
3.26,0.020000,-6.779949,-0.743339,-5.363694,-0.797654,0.951956,-5.779187,-0.802879,0.955031,-5.808016,-0.717757,-0.060098,-0.693695,NotFall
3.28,0.020000,-6.756301,-0.759173,-5.420508,-0.792626,0.947910,-5.750751,-0.797654,0.951956,-5.779187,-0.714346,-0.056770,-0.697487,NotFall
3.3,0.020000,-6.828196,-0.816375,-5.474832,-0.788019,0.942096,-5.724399,-0.792626,0.947910,-5.750751,-0.719525,-0.053585,-0.692396,NotFall
3.32,0.020000,-6.981345,-0.828431,-5.335446,-0.784141,0.935791,-5.697708,-0.788019,0.942096,-5.724399,-0.731420,-0.052310,-0.679918,NotFall
3.34,0.020000,-7.187614,-0.876433,-5.235681,-0.781500,0.928963,-5.672234,-0.784141,0.935791,-5.697708,-0.746145,-0.054542,-0.663546,NotFall
3.36,0.020000,-7.360057,-0.954118,-5.133336,-0.779027,0.921908,-5.648618,-0.781500,0.928963,-5.672234,-0.762866,-0.061301,-0.643645,NotFall
3.38,0.020000,-7.545107,-1.032200,-4.967716,-0.776965,0.915265,-5.625905,-0.779027,0.921908,-5.648618,-0.779632,-0.071358,-0.622159,NotFall
3.4,0.020000,-7.781211,-1.143841,-4.945495,-0.776066,0.908496,-5.607615,-0.776965,0.915265,-5.625905,-0.797771,-0.082101,-0.597345,NotFall
3.42,0.020000,-8.041715,-1.213392,-4.748115,-0.776515,0.902092,-5.590991,-0.776066,0.908496,-5.607615,-0.817461,-0.091046,-0.568742,NotFall
3.44,0.020000,-8.334808,-1.276053,-4.623886,-0.778720,0.895204,-5.578159,-0.776515,0.902092,-5.590991,-0.838382,-0.094971,-0.536745,NotFall
3.46,0.020000,-8.535263,-1.256088,-4.391119,-0.780876,0.887974,-5.567161,-0.778720,0.895204,-5.578159,-0.859070,-0.091190,-0.503670,NotFall
3.48,0.020000,-8.708630,-1.151270,-4.145559,-0.782820,0.880971,-5.557471,-0.780876,0.887974,-5.567161,-0.877822,-0.081665,-0.471975,NotFall
3.5,0.020000,-8.855820,-0.933673,-3.832490,-0.784881,0.876380,-5.546647,-0.782820,0.880971,-5.557471,-0.892230,-0.071779,-0.445841,NotFall
3.52,0.020000,-8.923303,-0.795152,-3.650923,-0.786401,0.873197,-5.535863,-0.784881,0.876380,-5.546647,-0.901865,-0.064830,-0.427126,NotFall
3.54,0.020000,-8.950291,-0.645397,-3.452385,-0.787298,0.872424,-5.523521,-0.786401,0.873197,-5.535863,-0.907796,-0.061849,-0.414828,NotFall
3.56,0.020000,-8.993083,-0.538567,-3.334831,-0.788523,0.874167,-5.510049,-0.787298,0.872424,-5.523521,-0.910479,-0.063786,-0.408607,NotFall
3.58,0.020000,-9.013042,-0.545326,-3.283956,-0.789899,0.876936,-5.496309,-0.788523,0.874167,-5.510049,-0.911751,-0.069698,-0.404787,NotFall
3.6,0.020000,-9.016390,-0.562389,-3.175639,-0.791094,0.880733,-5.481212,-0.789899,0.876936,-5.496309,-0.913011,-0.076681,-0.400662,NotFall
3.62,0.020000,-9.052485,-0.624886,-3.098801,-0.792627,0.884301,-5.465662,-0.791094,0.880733,-5.481212,-0.914964,-0.081887,-0.395141,NotFall
3.64,0.020000,-9.123551,-0.642056,-2.957311,-0.795053,0.887651,-5.448546,-0.792627,0.884301,-5.465662,-0.917664,-0.082525,-0.388694,NotFall
3.66,0.020000,-9.281377,-0.650228,-2.784122,-0.799735,0.889978,-5.429944,-0.795053,0.887651,-5.448546,-0.922249,-0.078139,-0.378618,NotFall
3.68,0.020000,-9.431574,-0.607631,-2.590421,-0.806194,0.892062,-5.410303,-0.799735,0.889978,-5.429944,-0.928504,-0.072563,-0.364164,NotFall
3.7,0.020000,-9.478930,-0.641439,-2.168205,-0.811394,0.891954,-5.387810,-0.806194,0.892062,-5.410303,-0.939748,-0.064836,-0.335665,NotFall
3.72,0.020000,-9.678068,-0.546100,-1.734945,-0.817982,0.891604,-5.363996,-0.811394,0.891954,-5.387810,-0.952973,-0.053884,-0.298228,NotFall
3.74,0.020000,-9.829722,-0.429488,-1.334932,-0.826072,0.890919,-5.336862,-0.817982,0.891604,-5.363996,-0.960778,-0.040292,-0.274376,NotFall
3.76,0.020000,-9.786304,-0.432938,-1.470834,-0.836036,0.891672,-5.303844,-0.826072,0.890919,-5.336862,-0.946802,-0.047969,-0.318220,NotFall
3.78,0.020000,-9.260248,-0.708120,-2.419997,-0.845882,0.894626,-5.265925,-0.836036,0.891672,-5.303844,-0.893774,-0.087239,-0.439952,NotFall
3.8,0.020000,-8.127307,-1.546518,-1.399691,-0.832918,0.893473,-5.211434,-0.845882,0.894626,-5.265925,-0.894549,-0.151768,-0.420415,NotFall
3.82,0.020000,-8.119518,-2.339926,-0.313633,-0.808922,0.882799,-5.168214,-0.832918,0.893473,-5.211434,-0.949982,-0.184124,-0.252257,NotFall
3.84,0.020000,-8.170379,-2.121254,0.598842,-0.778248,0.864099,-5.139996,-0.808922,0.882799,-5.168214,-0.989205,-0.120921,-0.082780,NotFall
3.86,0.020000,-8.619218,-0.841703,2.215411,-0.754650,0.851617,-5.103852,-0.778248,0.864099,-5.139996,-0.998888,-0.022179,0.041615,NotFall
3.88,0.020000,-8.622059,0.142197,2.700229,-0.731735,0.844043,-5.064746,-0.754650,0.851617,-5.103852,-0.995698,0.053096,0.075936,NotFall
3.9,0.020000,-9.140048,0.638469,2.326377,-0.718715,0.849243,-5.027760,-0.731735,0.844043,-5.064746,-0.998072,0.038580,0.048627,NotFall
3.92,0.020000,-8.922572,-0.395465,1.711208,-0.701518,0.855802,-4.990911,-0.718715,0.849243,-5.027760,-0.997188,-0.073741,-0.013376,NotFall
3.94,0.020000,-8.557786,-1.937610,0.999574,-0.681944,0.860745,-4.956524,-0.701518,0.855802,-4.990911,-0.972120,-0.222710,-0.073372,NotFall
3.96,0.020000,-7.655949,-3.341140,0.652336,-0.651320,0.859005,-4.921179,-0.681944,0.860745,-4.956524,-0.936510,-0.331713,-0.113649,NotFall
3.98,0.020000,-7.207087,-3.666394,0.365015,-0.613807,0.855458,-4.888838,-0.651320,0.859005,-4.921179,-0.925859,-0.355664,-0.127627,NotFall
4,0.020000,-6.794573,-3.039905,0.845433,-0.562952,0.849892,-4.848063,-0.613807,0.855458,-4.888838,-0.951817,-0.281509,-0.121642,NotFall
4.02,0.020000,-5.884263,-1.372092,0.977695,-0.488415,0.853385,-4.804263,-0.562952,0.849892,-4.848063,-0.979729,-0.157668,-0.123583,NotFall
4.04,0.020000,-5.945168,0.111181,0.736166,-0.414065,0.872199,-4.760007,-0.488415,0.853385,-4.804263,-0.984984,-0.084558,-0.150522,NotFall
4.06,0.020000,-6.505963,0.791318,-0.287555,-0.351762,0.903379,-4.730648,-0.414065,0.872199,-4.760007,-0.980741,-0.078256,-0.178950,NotFall
4.08,0.020000,-6.863552,0.494315,-0.825073,-0.298436,0.939934,-4.708995,-0.351762,0.903379,-4.730648,-0.971445,-0.135931,-0.194466,NotFall
4.1,0.020000,-7.151622,-0.297849,-2.226325,-0.253169,0.965610,-4.708386,-0.298436,0.939934,-4.708995,-0.959731,-0.161227,-0.230051,NotFall
4.12,0.020000,-7.094326,0.091355,-3.255074,-0.210737,0.995184,-4.712240,-0.253169,0.965610,-4.708386,-0.939442,-0.141420,-0.312170,NotFall
4.14,0.020000,-7.072037,0.016471,-4.907082,-0.178330,1.022033,-4.723387,-0.210737,0.995184,-4.712240,-0.886076,-0.135168,-0.443395,NotFall
4.16,0.020000,-6.411417,-0.160294,-6.601256,-0.151336,1.053741,-4.740602,-0.178330,1.022033,-4.723387,-0.791145,-0.177950,-0.585170,NotFall
4.18,0.020000,-5.479693,-1.113042,-7.772457,-0.130445,1.088386,-4.761033,-0.151336,1.053741,-4.740602,-0.665061,-0.290038,-0.688166,NotFall
4.2,0.020000,-4.263309,-2.142506,-8.301558,-0.111363,1.118496,-4.777790,-0.130445,1.088386,-4.761033,-0.531844,-0.371867,-0.760826,NotFall
4.22,0.020000,-3.216998,-2.250759,-8.823509,-0.094624,1.147731,-4.791757,-0.111363,1.118496,-4.777790,-0.413248,-0.378445,-0.828255,NotFall
4.24,0.020000,-2.063815,-1.787543,-9.400126,-0.078188,1.172193,-4.802169,-0.094624,1.147731,-4.791757,-0.294152,-0.306894,-0.905147,NotFall
4.26,0.020000,-1.239389,-0.991805,-10.209660,-0.070336,1.193875,-4.817404,-0.078188,1.172193,-4.802169,-0.166358,-0.211610,-0.963092,NotFall
4.28,0.020000,-0.246210,-0.545184,-10.486440,-0.068023,1.213220,-4.833414,-0.070336,1.193875,-4.817404,-0.036885,-0.154176,-0.987355,NotFall
4.3,0.020000,0.233722,-0.695410,-10.857430,-0.079801,1.227203,-4.857053,-0.068023,1.213220,-4.833414,0.083856,-0.142154,-0.986286,NotFall
4.32,0.020000,1.140728,-1.005308,-10.469330,-0.094741,1.238144,-4.876426,-0.079801,1.227203,-4.857053,0.192425,-0.158243,-0.968469,NotFall
4.34,0.020000,2.046031,-1.427739,-9.894147,-0.108816,1.244547,-4.889247,-0.094741,1.238144,-4.876426,0.280307,-0.178172,-0.943230,NotFall
4.36,0.020000,2.563901,-2.073900,-9.355870,-0.122466,1.247263,-4.896571,-0.108816,1.244547,-4.889247,0.330927,-0.225253,-0.916378,NotFall
4.38,0.020000,2.682446,-2.869121,-8.940579,-0.136116,1.247967,-4.900479,-0.122466,1.247263,-4.896571,0.343010,-0.296054,-0.891457,NotFall
4.4,0.020000,2.370093,-4.056638,-8.661551,-0.152317,1.239949,-4.903113,-0.136116,1.247967,-4.900479,0.324175,-0.372654,-0.869506,NotFall
4.42,0.020000,1.923852,-4.906127,-8.393401,-0.169071,1.228134,-4.903664,-0.152317,1.239949,-4.903113,0.281500,-0.439900,-0.852787,NotFall
4.44,0.020000,1.289438,-5.708847,-8.242955,-0.185806,1.210109,-4.902870,-0.169071,1.228134,-4.903664,0.216737,-0.490068,-0.844309,NotFall
4.46,0.020000,0.228839,-6.545324,-8.132352,-0.205406,1.180896,-4.899480,-0.185806,1.210109,-4.902870,0.123229,-0.518317,-0.846263,NotFall
4.48,0.020000,-0.689771,-6.455369,-8.115769,-0.222365,1.156854,-4.896128,-0.205406,1.180896,-4.899480,0.016123,-0.535501,-0.844381,NotFall
4.5,0.020000,-2.286861,-7.438396,-7.768364,-0.248856,1.117862,-4.890023,-0.222365,1.156854,-4.896128,-0.098095,-0.559510,-0.822998,NotFall
4.52,0.020000,-3.597519,-7.802992,-7.121527,-0.276789,1.077310,-4.880089,-0.248856,1.117862,-4.890023,-0.224349,-0.588727,-0.776575,NotFall
4.54,0.020000,-5.130861,-8.126204,-6.299019,-0.308358,1.034844,-4.868110,-0.276789,1.077310,-4.880089,-0.362123,-0.611912,-0.703157,NotFall
4.56,0.020000,-6.449743,-7.848425,-5.316694,-0.336644,0.997326,-4.855770,-0.308358,1.034844,-4.868110,-0.513297,-0.608823,-0.604865,NotFall
4.58,0.020000,-7.894354,-7.127267,-3.994503,-0.363749,0.964909,-4.839419,-0.336644,0.997326,-4.855770,-0.666573,-0.561308,-0.490524,NotFall
4.6,0.020000,-8.761385,-6.060915,-3.100343,-0.385075,0.940841,-4.828141,-0.363749,0.964909,-4.839419,-0.784412,-0.495158,-0.373520,NotFall
4.62,0.020000,-9.375293,-5.242921,-2.016385,-0.404357,0.922053,-4.815676,-0.385075,0.940841,-4.828141,-0.857409,-0.438688,-0.269076,NotFall
4.64,0.020000,-9.531445,-4.686896,-1.350734,-0.419574,0.908655,-4.807046,-0.404357,0.922053,-4.815676,-0.894048,-0.409478,-0.181674,NotFall
4.66,0.020000,-9.421668,-4.555941,-1.032957,-0.430660,0.897912,-4.803577,-0.419574,0.908655,-4.807046,-0.903910,-0.409662,-0.122980,NotFall
4.68,0.020000,-9.350236,-4.602324,-0.836938,-0.440327,0.887957,-4.802801,-0.430660,0.897912,-4.803577,-0.903861,-0.418408,-0.089271,NotFall
4.7,0.020000,-9.256090,-4.710846,-1.136652,-0.448981,0.878218,-4.810802,-0.440327,0.887957,-4.802801,-0.899429,-0.430569,-0.075088,NotFall
4.72,0.020000,-9.299261,-4.879379,-1.284564,-0.459615,0.867351,-4.821470,-0.448981,0.878218,-4.810802,-0.893740,-0.442002,-0.076570,NotFall
4.74,0.020000,-9.394983,-4.993446,-1.698776,-0.473501,0.856437,-4.838098,-0.459615,0.867351,-4.821470,-0.886916,-0.453389,-0.088418,NotFall
4.76,0.020000,-9.424664,-4.959929,-2.105258,-0.488483,0.846045,-4.857800,-0.473501,0.856437,-4.838098,-0.884358,-0.452629,-0.114183,NotFall
4.78,0.020000,-9.518517,-4.684957,-2.591824,-0.504675,0.837765,-4.880316,-0.488483,0.846045,-4.857800,-0.887762,-0.435369,-0.149443,NotFall
4.8,0.020000,-9.700216,-4.217721,-2.980963,-0.522979,0.832332,-4.902584,-0.504675,0.837765,-4.880316,-0.895518,-0.402250,-0.190374,NotFall
4.82,0.020000,-9.870971,-3.628166,-3.389302,-0.543460,0.830694,-4.923924,-0.522979,0.832332,-4.902584,-0.901822,-0.361496,-0.236724,NotFall
4.84,0.020000,-9.978045,-3.119569,-3.743423,-0.566978,0.833193,-4.941414,-0.543460,0.830694,-4.923924,-0.897266,-0.330735,-0.292452,NotFall
4.86,0.020000,-9.886486,-2.688670,-4.231592,-0.592408,0.840788,-4.955045,-0.566978,0.833193,-4.941414,-0.878185,-0.312787,-0.361878,NotFall
4.88,0.020000,-9.578817,-2.424308,-4.880992,-0.618491,0.852637,-4.966259,-0.592408,0.840788,-4.955045,-0.843494,-0.307516,-0.440399,NotFall
4.9,0.020000,-9.158664,-2.080066,-5.635945,-0.645063,0.871699,-4.977535,-0.618491,0.852637,-4.966259,-0.798169,-0.309190,-0.517037,NotFall
4.92,0.020000,-8.505176,-1.920741,-6.308358,-0.668909,0.895059,-4.988434,-0.645063,0.871699,-4.977535,-0.745455,-0.314860,-0.587503,NotFall
4.94,0.020000,-7.677725,-1.786147,-6.981723,-0.687971,0.922276,-4.999831,-0.668909,0.895059,-4.988434,-0.685485,-0.320794,-0.653606,NotFall
4.96,0.020000,-6.657548,-1.773099,-7.572337,-0.700112,0.949294,-5.010043,-0.687971,0.922276,-4.999831,-0.616766,-0.318450,-0.719854,NotFall
4.98,0.020000,-5.687788,-1.652571,-8.177334,-0.708653,0.976417,-5.019306,-0.700112,0.949294,-5.010043,-0.536265,-0.306698,-0.786357,NotFall
5,0.020000,-4.545237,-1.532210,-8.687316,-0.709323,1.000484,-5.027647,-0.708653,0.976417,-5.019306,-0.459910,-0.278858,-0.843043,NotFall
