count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez,movementType
3.7,0.020000,2.316424,-3.411803,-5.766639,-0.328802,0.910904,-5.906968,-0.379525,0.864429,-5.950747,-0.022397,-0.584667,-0.810965,Walking
3.72,0.020000,3.330306,-3.248615,-6.029587,-0.284218,0.961375,-5.870453,-0.328802,0.910904,-5.906968,0.112242,-0.588393,-0.800747,Walking
3.74,0.020000,3.864885,-3.010129,-6.071653,-0.250850,1.016250,-5.839171,-0.284218,0.961375,-5.870453,0.223905,-0.586532,-0.778362,Walking
3.76,0.020000,4.272401,-3.003477,-5.899935,-0.227032,1.070843,-5.810376,-0.250850,1.016250,-5.839171,0.314119,-0.584418,-0.748188,Walking
3.78,0.020000,4.748141,-2.967984,-5.785522,-0.209354,1.125833,-5.786638,-0.227032,1.070843,-5.810376,0.393907,-0.582821,-0.710744,Walking
3.8,0.020000,5.026965,-3.481923,-4.979903,-0.199054,1.172961,-5.756943,-0.209354,1.125833,-5.786638,0.459936,-0.595141,-0.658989,Walking
3.82,0.020000,5.332090,-3.966969,-4.423932,-0.192600,1.215356,-5.728641,-0.199054,1.172961,-5.756943,0.510644,-0.620457,-0.595211,Walking
3.84,0.020000,5.543890,-4.580777,-3.650297,-0.188993,1.250280,-5.696884,-0.192600,1.215356,-5.728641,0.546740,-0.644952,-0.533959,Walking
3.86,0.020000,5.663458,-5.398001,-2.979852,-0.188114,1.271989,-5.661356,-0.188993,1.250280,-5.696884,0.572837,-0.660903,-0.484836,Walking
3.88,0.020000,6.085423,-5.714326,-2.672241,-0.183730,1.287784,-5.626437,-0.188114,1.271989,-5.661356,0.597981,-0.663006,-0.450380,Walking
3.9,0.020000,6.348914,-6.425308,-2.436107,-0.177836,1.288030,-5.589977,-0.183730,1.287784,-5.626437,0.617149,-0.656226,-0.434160,Walking
3.92,0.020000,6.469096,-6.531283,-2.499575,-0.171104,1.284758,-5.554925,-0.177836,1.288030,-5.589977,0.625126,-0.649106,-0.433450,Walking
3.94,0.020000,6.391786,-6.936481,-2.644684,-0.164064,1.274417,-5.521684,-0.171104,1.284758,-5.554925,0.615677,-0.654373,-0.439019,Walking
3.96,0.020000,6.140429,-7.472708,-2.765548,-0.155378,1.257481,-5.488060,-0.164064,1.274417,-5.521684,0.581664,-0.675427,-0.453283,Walking
3.98,0.020000,5.817166,-7.788199,-3.015985,-0.142402,1.240292,-5.455607,-0.155378,1.257481,-5.488060,0.526846,-0.706292,-0.472849,Walking
4,0.020000,5.052354,-8.869110,-2.986484,-0.129867,1.207637,-5.416777,-0.142402,1.240292,-5.455607,0.451133,-0.737651,-0.502345,Walking
4.02,0.020000,4.123960,-9.423899,-3.381907,-0.117876,1.168203,-5.378059,-0.129867,1.207637,-5.416777,0.359270,-0.759656,-0.542077,Walking
4.04,0.020000,3.085949,-10.117160,-3.868045,-0.107555,1.116001,-5.340049,-0.117876,1.168203,-5.378059,0.261964,-0.765242,-0.588030,Walking
4.06,0.020000,1.840008,-10.647670,-3.792357,-0.101790,1.052903,-5.293117,-0.107555,1.116001,-5.340049,0.158180,-0.763788,-0.625785,Walking
4.08,0.020000,0.378034,-10.724470,-4.310611,-0.103854,0.986948,-5.251504,-0.101790,1.052903,-5.293117,0.049057,-0.757056,-0.651505,Walking
4.1,0.020000,-2.110969,-11.080780,-4.061380,-0.126967,0.912969,-5.204932,-0.103854,0.986948,-5.251504,-0.097380,-0.752481,-0.651375,Walking
4.12,0.020000,-4.700891,-10.088210,-5.015399,-0.161662,0.847848,-5.177553,-0.126967,0.912969,-5.204932,-0.302362,-0.696445,-0.650800,Walking
4.14,0.020000,-7.445812,-7.456518,-6.014506,-0.200896,0.799149,-5.169868,-0.161662,0.847848,-5.177553,-0.559033,-0.511885,-0.652270,Walking
4.16,0.020000,-9.737772,-3.845665,-5.753518,-0.242097,0.767571,-5.171535,-0.200896,0.799149,-5.169868,-0.782640,-0.231067,-0.577999,Walking
4.18,0.020000,-10.875270,-0.344728,-4.683135,-0.282667,0.748038,-5.181361,-0.242097,0.767571,-5.171535,-0.901812,0.064414,-0.427301,Walking
4.2,0.020000,-10.429070,2.905543,-3.016708,-0.310235,0.753165,-5.187646,-0.282667,0.748038,-5.181361,-0.922596,0.270054,-0.275477,Walking
4.22,0.020000,-9.995024,4.233277,-2.051610,-0.331210,0.765462,-5.193419,-0.310235,0.753165,-5.187646,-0.911951,0.368848,-0.179713,Walking
4.24,0.020000,-9.407118,5.085936,-1.261152,-0.341161,0.788790,-5.194206,-0.331210,0.765462,-5.193419,-0.908214,0.399545,-0.124545,Walking
4.26,0.020000,-9.328170,5.102913,-0.586789,-0.347075,0.816984,-5.185840,-0.341161,0.788790,-5.194206,-0.920743,0.376477,-0.102459,Walking
